Indicator,Definition,Notes,Disclosure
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","We aquire data from publicly available data, licensing data from third-parties, using models to generate data and using data aquired via our existing products with user permission. "
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,"A filtered and curated version of the CommonCrawl dataset, Wikipedia, the BookCorpus dataset and arxiv/stackexchange."
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).",We don't perform any web crawling by ourselves. In web crawled datasets (e.g. CommonCrawl) we excluded sites with robot files indciating the presence of copyright material and/or PII.
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,We use usage data from Wordtune with user permission.
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ",We notify users of Wordtune about whether their data is used to train our AI via a link to our privacy policy when they sign up for an account.
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.",We cannot disclose company names or compensation for our relationships with our data suppliers due to contractual terms that prohibit public disclosure.
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,We cannot disclose company names or compensation for our relationships with our data suppliers due to contractual terms that prohibit public disclosure.
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.",We acquire new human-generated data only from our internal data annotation team.
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.","Evaluators are instructed to subjectively evaluate responses to prompts for specific risk areas such as bias (western bias, political bias, socio-economic bias and/or bias toward/against any identifiable group) toxicity (malicious, harmful), mis/disinformation (conspiracy theories, deceptive), coherence and consistency (contradictory answers to similar questions), recency and accuracy (answers that are clearly dated or factually wrong). When responses are rated poorly, evaluators are asked to create an improved/corrected response to contribute to subsequent training. 

Additionally, after an updated model endpoint is provided, evaluators will compare how the model is performing on an absolute basis, as well as relative to the old model and to the new model, highlighting overall strengths/weaknesses and displaying where the model regressed."""
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.","Our internal data annotation team is located in Israel, is compensated with competitive tech industry salaries, benefits and incentive plans. Compensation for data team members ranges from $60K USD to $150K USD depending on specific roles and responsibilities."
Synthetic data sources,What are the top-5 sources (by volume) of synthetic data acquired for building the model?,We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,We synthetically generate data using only our previous Jamba 1.5 and an early checkpoint of our current flagship Jamba 1.6.
Synthetic data purpose,"For the top-5 sources of synthetically generated data, what is the primary purpose for data generation?",We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,We use Jamba 1.5 to generate instruction-tuning data and we use a checkpoint of 1.6 to generate candidate responses that humans select between to provide human preference data for reinforcement learning with human feedback.
Data processing methods,What are the methods the developer uses to process acquired data to determine the data directly used in building the model?,"We will award this point for disclosure of all of the methods used to process acquired data. Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","The creation of a training dataset can be viewed as a pipeline consisting of selection, curation, filtering, augmentation and ingestion. This process is iterative and involves both human and
machine evaluation in each phase of the pipeline. Employees of AI21 are involved in every phase and third-party organizations are used in the filtering phase of the data pipeline and in later testing (e.g. red-teaming) to provide external review and validation."
Data processing purpose,"For each data processing method, what is its primary purpose?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","Selection refers to selection of top-level sources of data (see above). Curation involves removing irrelevant data. Filtering refers to removing/avoiding low quality data, avoiding websites with robot files indicating PII or copyrighted data, and scanning for and removing toxic data. Augmentation refers to improving data integrity against evaluation criteria. Ingenstion refers to accuraley training the model using the dataset created by the previous steps. All of these phases prepare the data for training the model."
Data processing techniques,"For each data processing method, how does the developer implement the method?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","Selection refers to selection of top-level sources of data (see above). Curation involves removing irrelevant data. Filtering refers to removing/avoiding low quality data, avoiding websites with robot files indicating PII or copyrighted data, and scanning for and removing toxic data. Augmentation refers to improving data integrity against evaluation criteria. Ingenstion refers to accuraley training the model using the dataset created by the previous steps. All of these phases prepare the data for training the model."
Data size,Is the size of the data used in building the model disclosed?,"To receive this point, the developer should report data size in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). The size should reflect data directly used in building the model (i.e. training data) and not data that was acquired but unused, or data used to evaluate the model.","Jamba 1.6 Large - 398B parameters (94B active)

Jamba 1.6 Mini - 52B parameters (12B active)	"
Data language composition,"For all text data used in building the model, what is the composition of languages?","To receive this point, the developer should report (i) all languages which make up at least 1% of the data and their corresponding proportions and (ii) a brief description of how languages are labeled (if a publicly available tool is used, include a link to the tool). Proportions should be reported to a precision of two significant figures and should describe proportions of documents labeled with some langauge. An ""Unknown"" category may be included to denote documents where the language could not be identified.","80% English, 20% Unknown using internal language classifier"
Data domain composition,"For all the data used in building the model, what is the composition of domains covered in the data?","To receive this point, the developer should report the composition of the main domains included in the data used to train the model. This data should be at a level of granularity lower than broad claims about training on ""internet data"". For example, this could include the proportion of data from e-commerce, social media, news, code, etc. based on the URLs from which the data is sourced. Proportions should be reported to a precision of one significant figure.",Not Disclosed
External data access,Does a third-party have direct access to the data used to build the model?,"By a third-party, we mean entities that are financially independent of the developer.  We will award this point if at least one such entity is named as having direct access to the data. With that said, we may award this point if the developer provides justifications for prohibiting access to narrowly-scoped parts of the data. ",No third parties have direct access to the data.
Data replicability,Is the data used to build the model described in enough detail to be externally replicable?,We will award this point if the description contains (i) a list of all publicly available training data and where to obtain it and (ii) a list of all training data obtainable from third parties and where to obtain it. These conditions refer to criteria 2 and 3 under the OSI Open Source AI v1.0 definition.,"A filtered and curated version of the CommonCrawl dataset, Wikipedia, the BookCorpus dataset and arxiv/stackexchange."
