Indicator,Definition,Notes,Disclosure
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","The most relevant document is the Qwen 3 technical report. The relevant section on data acquisition first describes pretraining data: ""Specifically, we collected twice as many pre-training tokens—covering three times
more languages. All Qwen3 models are trained on a large and diverse dataset consisting of 119 languages
and dialects, with a total of 36 trillion tokens. This dataset includes high-quality content in various
3
domains such as coding, STEM (Science, Technology, Engineering, and Mathematics), reasoning tasks,
books, multilingual texts, and synthetic data.
To further expand the pre-training data corpus, we first employ the Qwen2.5-VL model (Bai et al., 2025)
to perform text recognition on a large volume of PDF-like documents. The recognized text is then refined
using the Qwen2.5 model (Yang et al., 2024b), which helps improve its quality. Through this two-step
process, we are able to obtain an additional set of high-quality text tokens, amounting to trillions in total.
Besides, we employ Qwen2.5 (Yang et al., 2024b), Qwen2.5-Math (Yang et al., 2024c), and Qwen2.5-Coder
(Hui et al., 2024) models to synthesize trillions of text tokens in different formats, including textbooks,
question-answering, instructions, and code snippets, covering dozens of domains. Finally, we further
expand the pre-training corpus by incorporating additional multilingual data and introducing more
languages. Compared to the pre-training data used in Qwen2.5, the number of supported languages has
been significantly increased from 29 to 119, enhancing the model’s linguistic coverage and cross-lingual
capabilities."" A further reasoning stage in pretraining is described by ""Reasoning Stage (S2): To further improve the reasoning ability, we optimize the pre-training
corpus of this stage by increasing the proportion of STEM, coding, reasoning, and synthetic data"", followed by a long-context stage: ""In the final pre-training stage, we collect high-quality long context corpora
to extend the context length of Qwen3 models. All models are pre-trained on hundreds of billions
of tokens with a sequence length of 32,768 tokens"". Beyond pre-training, further post-training is described."
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,No information provided about public datasets.
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).",No information provided about crawling.
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,"Via one product (Qwen Chat) Alibaba discloses it may use ""de-identified user content"" ""to improve the accuracy and quality of our services (including our AI models)"""
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ","Via one product (Qwen Chat) Alibaba discloses it may use ""de-identified user content"" ""to improve the accuracy and quality of our services (including our AI models)"""
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.","No information is provided about licensed data in Aliababa's own documentation. Aliababa appears to have signed data licensing deals with, for example, China Media Group"
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,"No information is provided about licensed data in Aliababa's own documentation. Aliababa appears to have signed data licensing deals with, for example, China Media Group"
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.","The most relevant document is the Qwen 3 technical report. The relevant passage is: ""After reserving a validation query set, we generate N candidate responses for each remaining query
using QwQ-32B (Qwen Team, 2025). When QwQ-32B consistently fails to generate correct solutions,
human annotators manually assess the accuracy of the responses. For queries with positive Pass@N,
further stringent filtering criteria are applied to remove responses that (1) yield incorrect final answers,
(2) contain substantial repetition, (3) clearly indicate guesswork without adequate reasoning, (4) exhibit
inconsistencies between the thinking and summary contents, (5) involve inappropriate language mixing or
stylistic shifts, or (6) are suspected of being overly similar to potential validation set items. Subsequently,
a carefully selected subset of the refined dataset is used for the initial cold-start training of the reasoning
patterns. The objective at this stage is to instill foundational reasoning patterns in the model without
overly emphasizing immediate reasoning performance. This approach ensures that the model’s potential
is not limited, allowing for greater flexibility and improvement during the subsequent reinforcement
learning (RL) phase. To achieve this objective effectively, it is preferable to minimize both the number of
training samples and the training steps during this preparatory phase."""
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.",No information provided about instructions.
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.",No information provided about labor practices.
Synthetic data sources,What are the top-5 sources (by volume) of synthetic data acquired for building the model?,We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,"The most relevant document is the Qwen 3 technical report. The relevant passages include: ""we generate N candidate responses for each remaining query
using QwQ-32B"" and ""To ensure that the performance of the Stage 2 model is not compromised by the additional SFT, the
“thinking” data is generated via rejection sampling on Stage 1 queries using the Stage 2 model itself"" and ""To efficiently expand the training data, we
employ a multi-modal approach: Qwen2.5-VL (Bai et al., 2025) is finetuned to extract text from extensive
PDF documents. We also generate synthetic data using domain-specific models: Qwen2.5-Math (Yang
et al., 2024c) for mathematical content and Qwen2.5-Coder (Hui et al., 2024) for code-related data."""
Synthetic data purpose,"For the top-5 sources of synthetically generated data, what is the primary purpose for data generation?",We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,"The most relevant document is the Qwen 3 technical report. The relevant passages include: ""we generate N candidate responses for each remaining query
using QwQ-32B"" and ""To ensure that the performance of the Stage 2 model is not compromised by the additional SFT, the
“thinking” data is generated via rejection sampling on Stage 1 queries using the Stage 2 model itself"" and ""To efficiently expand the training data, we
employ a multi-modal approach: Qwen2.5-VL (Bai et al., 2025) is finetuned to extract text from extensive
PDF documents. We also generate synthetic data using domain-specific models: Qwen2.5-Math (Yang
et al., 2024c) for mathematical content and Qwen2.5-Coder (Hui et al., 2024) for code-related data."""
Data processing methods,What are the methods the developer uses to process acquired data to determine the data directly used in building the model?,"We will award this point for disclosure of all of the methods used to process acquired data. Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","The most relevant document is the Qwen 3 technical report. The relevant passage on data processing during pre-training states: ""To further expand the pre-training data corpus, we first employ the Qwen2.5-VL model (Bai et al., 2025)
to perform text recognition on a large volume of PDF-like documents. The recognized text is then refined
using the Qwen2.5 model (Yang et al., 2024b), which helps improve its quality. Through this two-step
process, we are able to obtain an additional set of high-quality text tokens, amounting to trillions in total.
Besides, we employ Qwen2.5 (Yang et al., 2024b), Qwen2.5-Math (Yang et al., 2024c), and Qwen2.5-Coder
(Hui et al., 2024) models to synthesize trillions of text tokens in different formats, including textbooks,
question-answering, instructions, and code snippets, covering dozens of domains. Finally, we further
expand the pre-training corpus by incorporating additional multilingual data and introducing more
languages. Compared to the pre-training data used in Qwen2.5, the number of supported languages has
been significantly increased from 29 to 119, enhancing the model’s linguistic coverage and cross-lingual
capabilities.
We have developed a multilingual data annotation system designed to enhance both the quality and
diversity of training data. This system has been applied to our large-scale pre-training datasets, annotating
over 30 trillion tokens across multiple dimensions such as educational value, fields, domains, and safety.
These detailed annotations support more effective data filtering and combination. Unlike previous
studies (Xie et al., 2023; Fan et al., 2023; Liu et al., 2024b) that optimize the data mixture at the data source
or domain level, our method optimizes the data mixture at the instance-level through extensive ablation
experiments on small proxy models with the fine-grained data labels."" In addition, further information about data processing is provided for the four stages of post-training: Long-CoT Cold Start, Reasoning RL, Thinking Mode Fusion, and General RL."
Data processing purpose,"For each data processing method, what is its primary purpose?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","The most relevant document is the Qwen 3 technical report. The relevant passage on data processing during pre-training states: ""To further expand the pre-training data corpus, we first employ the Qwen2.5-VL model (Bai et al., 2025)
to perform text recognition on a large volume of PDF-like documents. The recognized text is then refined
using the Qwen2.5 model (Yang et al., 2024b), which helps improve its quality. Through this two-step
process, we are able to obtain an additional set of high-quality text tokens, amounting to trillions in total.
Besides, we employ Qwen2.5 (Yang et al., 2024b), Qwen2.5-Math (Yang et al., 2024c), and Qwen2.5-Coder
(Hui et al., 2024) models to synthesize trillions of text tokens in different formats, including textbooks,
question-answering, instructions, and code snippets, covering dozens of domains. Finally, we further
expand the pre-training corpus by incorporating additional multilingual data and introducing more
languages. Compared to the pre-training data used in Qwen2.5, the number of supported languages has
been significantly increased from 29 to 119, enhancing the model’s linguistic coverage and cross-lingual
capabilities.
We have developed a multilingual data annotation system designed to enhance both the quality and
diversity of training data. This system has been applied to our large-scale pre-training datasets, annotating
over 30 trillion tokens across multiple dimensions such as educational value, fields, domains, and safety.
These detailed annotations support more effective data filtering and combination. Unlike previous
studies (Xie et al., 2023; Fan et al., 2023; Liu et al., 2024b) that optimize the data mixture at the data source
or domain level, our method optimizes the data mixture at the instance-level through extensive ablation
experiments on small proxy models with the fine-grained data labels."" In addition, further information about data processing is provided for the four stages of post-training: Long-CoT Cold Start, Reasoning RL, Thinking Mode Fusion, and General RL."
Data processing techniques,"For each data processing method, how does the developer implement the method?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","The most relevant document is the Qwen 3 technical report. The relevant passage on data processing during pre-training states: ""To further expand the pre-training data corpus, we first employ the Qwen2.5-VL model (Bai et al., 2025)
to perform text recognition on a large volume of PDF-like documents. The recognized text is then refined
using the Qwen2.5 model (Yang et al., 2024b), which helps improve its quality. Through this two-step
process, we are able to obtain an additional set of high-quality text tokens, amounting to trillions in total.
Besides, we employ Qwen2.5 (Yang et al., 2024b), Qwen2.5-Math (Yang et al., 2024c), and Qwen2.5-Coder
(Hui et al., 2024) models to synthesize trillions of text tokens in different formats, including textbooks,
question-answering, instructions, and code snippets, covering dozens of domains. Finally, we further
expand the pre-training corpus by incorporating additional multilingual data and introducing more
languages. Compared to the pre-training data used in Qwen2.5, the number of supported languages has
been significantly increased from 29 to 119, enhancing the model’s linguistic coverage and cross-lingual
capabilities.
We have developed a multilingual data annotation system designed to enhance both the quality and
diversity of training data. This system has been applied to our large-scale pre-training datasets, annotating
over 30 trillion tokens across multiple dimensions such as educational value, fields, domains, and safety.
These detailed annotations support more effective data filtering and combination. Unlike previous
studies (Xie et al., 2023; Fan et al., 2023; Liu et al., 2024b) that optimize the data mixture at the data source
or domain level, our method optimizes the data mixture at the instance-level through extensive ablation
experiments on small proxy models with the fine-grained data labels."" In addition, further information about data processing is provided for the four stages of post-training: Long-CoT Cold Start, Reasoning RL, Thinking Mode Fusion, and General RL."
Data size,Is the size of the data used in building the model disclosed?,"To receive this point, the developer should report data size in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). The size should reflect data directly used in building the model (i.e. training data) and not data that was acquired but unused, or data used to evaluate the model.","The most relevant document is the Qwen 3 technical report. The relevant passage states: ""General Stage (S1): At the first pre-training stage, all Qwen3 models are trained on over 30
trillion tokens using a sequence length of 4,096 tokens. At this stage, the models have been fully
pre-trained on language proficiency and general world knowledge, with training data covering
119 languages and dialects.
(2) Reasoning Stage (S2): To further improve the reasoning ability, we optimize the pre-training
corpus of this stage by increasing the proportion of STEM, coding, reasoning, and synthetic data.
The models are further pre-trained with about 5T higher-quality tokens at a sequence length of
4,096 tokens. We also accelerate the learning rate decay during this stage.
(3) Long Context Stage: In the final pre-training stage, we collect high-quality long context corpora
to extend the context length of Qwen3 models. All models are pre-trained on hundreds of billions
of tokens with a sequence length of 32,768 tokens. The long context corpus includes 75% of text
between 16,384 to 32,768 tokens in length, and 25% of text between 4,096 to 16,384 in length."""
Data language composition,"For all text data used in building the model, what is the composition of languages?","To receive this point, the developer should report (i) all languages which make up at least 1% of the data and their corresponding proportions and (ii) a brief description of how languages are labeled (if a publicly available tool is used, include a link to the tool). Proportions should be reported to a precision of two significant figures and should describe proportions of documents labeled with some langauge. An ""Unknown"" category may be included to denote documents where the language could not be identified.","Qwen 3 blog post states: ""Multilingual Support
Qwen3 models are supporting 119 languages and dialects. This extensive multilingual capability opens up new possibilities for international applications, enabling users worldwide to benefit from the power of these models.

Language Family        Languages & Dialects
Indo-European        English, French, Portuguese, German, Romanian, Swedish, Danish, Bulgarian, Russian, Czech, Greek, Ukrainian, Spanish, Dutch, Slovak, Croatian, Polish, Lithuanian, Norwegian Bokmål, Norwegian Nynorsk, Persian, Slovenian, Gujarati, Latvian, Italian, Occitan, Nepali, Marathi, Belarusian, Serbian, Luxembourgish, Venetian, Assamese, Welsh, Silesian, Asturian, Chhattisgarhi, Awadhi, Maithili, Bhojpuri, Sindhi, Irish, Faroese, Hindi, Punjabi, Bengali, Oriya, Tajik, Eastern Yiddish, Lombard, Ligurian, Sicilian, Friulian, Sardinian, Galician, Catalan, Icelandic, Tosk Albanian, Limburgish, Dari, Afrikaans, Macedonian, Sinhala, Urdu, Magahi, Bosnian, Armenian
Sino-Tibetan        Chinese (Simplified Chinese, Traditional Chinese, Cantonese), Burmese
Afro-Asiatic        Arabic (Standard, Najdi, Levantine, Egyptian, Moroccan, Mesopotamian, Ta’izzi-Adeni, Tunisian), Hebrew, Maltese
Austronesian        Indonesian, Malay, Tagalog, Cebuano, Javanese, Sundanese, Minangkabau, Balinese, Banjar, Pangasinan, Iloko, Waray (Philippines)
Dravidian        Tamil, Telugu, Kannada, Malayalam
Turkic        Turkish, North Azerbaijani, Northern Uzbek, Kazakh, Bashkir, Tatar
Tai-Kadai        Thai, Lao
Uralic        Finnish, Estonian, Hungarian
Austroasiatic        Vietnamese, Khmer
Other        Japanese, Ko""rean, Georgian, Basque, Haitian, Papiamento, Kabuverdianu, Tok Pisin, Swahili"
Data domain composition,"For all the data used in building the model, what is the composition of domains covered in the data?","To receive this point, the developer should report the composition of the main domains included in the data used to train the model. This data should be at a level of granularity lower than broad claims about training on ""internet data"". For example, this could include the proportion of data from e-commerce, social media, news, code, etc. based on the URLs from which the data is sourced. Proportions should be reported to a precision of one significant figure.","From section 3 of the Qwen 3 technical report: ""This dataset includes high-quality content in various
domains such as coding, STEM (Science, Technology, Engineering, and Mathematics), reasoning tasks,
books, multilingual texts, and synthetic data"""
External data access,Does a third-party have direct access to the data used to build the model?,"By a third-party, we mean entities that are financially independent of the developer.  We will award this point if at least one such entity is named as having direct access to the data. With that said, we may award this point if the developer provides justifications for prohibiting access to narrowly-scoped parts of the data. ",No information provided about external data access.
Data replicability,Is the data used to build the model described in enough detail to be externally replicable?,We will award this point if the description contains (i) a list of all publicly available training data and where to obtain it and (ii) a list of all training data obtainable from third parties and where to obtain it. These conditions refer to criteria 2 and 3 under the OSI Open Source AI v1.0 definition.,No information provided relevant for data replication.
Compute usage for final training run,Is the amount of compute used in the model's final training run disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 5 x 10^25 FLOPs). This number should represent the compute used to train the final model across all model stages.","No information provided about training compute, though the technical report notes: ""Qwen3 models are trained on over 30
trillion tokens using a sequence length of 4,096 tokens""."
Compute usage including R&D,"Is the amount of compute used to build the model, including experiments, disclosed?","Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 7 x 10^26 FLOPs). Compared to the previous indicator, this indicator should include an estimation of the total compute used across experiments used towards the final training run for the model (such as including hyperparameter optimization or other experiments), and not just the final training run itself.",No information provided about cumulative training compute.
Development duration for final training run,Is the amount of time required to build the model disclosed?,"The amount of time should be specified in terms of both the continuous duration of time required and the number of hardware hours used. The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). The number of hardware hours should be reported to a precision of one significant figure and include the type of hardware hours. No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, or training and subsequent evaluation and red teaming).","From the technical report: ""In addition, it achieves these gains with much greater training
efficiency, requiring only 1/10 of the GPU hours compared to the four-stage training method."" Also Table 21, but for Qwen 8B"
