Indicator,Definition,Notes,Disclosure,Justification,References,Score
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","The Amazon Nova models are trained on licensed data, proprietary data, open source datasets, and publicly available data. Our acqusition methods cover: licensing, crawling, synthetic generation and human creation/ annotation.",The developer clearly states data acquisition methods. ,,1
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,"Our models were trained on data from a variety of sources, including licensed data, proprietary data, open source datasets, and publicly available data where appropriate. We curated data from over 200 languages, with particular emphasis on Arabic, Dutch, English, French, German, Hebrew, Hindi, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, and Turkish",The developer does not provide information about the specific public datasets they use to train their flagship model.,,0
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).",Amazon does not disclose this information publicly.,The developer does not provide information about crawling involved in acquiring their training data.,,0
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,Amazon does not disclose this information publicly.,The developer does not provide information about the sources of usage data they use to train their flagship model.,,0
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ","For Amazon Nova models used via Amazon Bedrock, Amazon Bedrock doesn't store or log prompts and completions and doesn't use prompts and completions to train any AWS models and doesn't distribute them to third parties.

For Amazon Nova models used via nova.amazon,com, Amazon records, processes, and retains your Amazon Nova Interactions in the cloud to provide, develop, and improve our services, including artificial intelligence models and to enforce our terms.","The developer does not list the sources of usage data to clarify if it is only nova.amazon.com, nor if data is specifically used for training models (as opposed to other more generic forms of model improvement).",,0
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.","The Amazon Nova models were trained on data from a variety of sources, including licensed data, proprietary data, open source datasets, and publicly available data where appropriate. Amazon has announced a licensing agreement with the New York Times that will allow them to use content owned by the NYT for AI-related uses including the training of Amazon's proprietary foundation models. ","The developer lists that they license data from the New York Times, but does not clarify if this is the sole source of licensed data.",,0
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,Amazon does not disclose this information publicly.,The developer does not provide information about compensation for licensed data.,,0
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.","We use human generated data as part of three feedback methods to improve our models:

1. Reward modeling: We train models to understand human preferences using techniques like Direct Preference Optimization (DPO) and Proximal Policy Optimization (PPO).


2. Reinforcement Learning from Human Feedback (RLHF): We collect specific human preference data to guide how models learn which outputs are most helpful and appropriate.


3. Red teaming: Our subject matter experts in various fields actively test our models, identifying potential issues and vulnerabilities.",The developer describes the function of new human-generated data but not its sources.,,0
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.",Amazon does not disclose this information publicly. We do state publicly that we create guidelines that are used to train annotators.,The developer does not provide instructions they provide to sources of new human-generated data.,,0
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.",Amazon does not disclose this information publicly,The developer does not provide information about data laborer practices for new human-generated data.,,0
