Indicator,Definition,Notes,Disclosure
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","The most relevant document is the Claude 4 System Card. The relevant passage on data acquisition states: ""Claude Opus 4 and Claude Sonnet 4 were trained on a proprietary mix of publicly available
information on the Internet as of March 2025, as well as non-public data from third parties,
data provided by data-labeling services and paid contractors, data from Claude users who
have opted in to have their data used for training, and data we generated internally at
Anthropic. ... To obtain data from public web pages, we operate a general-purpose web crawler. This
crawler follows industry-standard practices with respect to “robots.txt” instructions
included by website operators indicating whether they permit crawling of their site’s
content. In addition, we do not access password-protected pages or those that require
sign-in or CAPTCHA verification, and we conduct diligence on the training data that we
use. The crawler operates transparently—website operators can easily identify when it has
crawled their web pages and signal their preferences to us. ...""."
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,This information is proprietary and not disclosed publicly to protect competitive advantages and intellectual property.
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).","The most relevant document is the Claude 4 System Card. The relevant passage on data acquisition states: ""Claude Opus 4 and Claude Sonnet 4 were trained on a proprietary mix of publicly available
information on the Internet as of March 2025, as well as non-public data from third parties,
data provided by data-labeling services and paid contractors, data from Claude users who
have opted in to have their data used for training, and data we generated internally at
Anthropic. ... To obtain data from public web pages, we operate a general-purpose web crawler. This
crawler follows industry-standard practices with respect to “robots.txt” instructions
included by website operators indicating whether they permit crawling of their site’s
content. In addition, we do not access password-protected pages or those that require
sign-in or CAPTCHA verification, and we conduct diligence on the training data that we
use. The crawler operates transparently—website operators can easily identify when it has
crawled their web pages and signal their preferences to us. ..."". In addition Anthropic Help Center article acknowledging web crawling practices (URL: https://support.anthropic.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler)
Claude 4 System Card PDF mentions general-purpose web crawler and robots.txt compliance (URL: https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf)
Contact email provided for crawler issues: claudebot@anthropic.com
General robots.txt opt-out instructions provided
Acknowledgment of using 'three robots' for different purposes"
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,"The most relevant document is the Claude 4 System Card. The relevant passage on data acquisition states: ""Claude Opus 4 and Claude Sonnet 4 were trained on a proprietary mix of publicly available
information on the Internet as of March 2025, as well as non-public data from third parties,
data provided by data-labeling services and paid contractors, data from Claude users who
have opted in to have their data used for training, and data we generated internally at
Anthropic. ... To obtain data from public web pages, we operate a general-purpose web crawler. This
crawler follows industry-standard practices with respect to “robots.txt” instructions
included by website operators indicating whether they permit crawling of their site’s
content. In addition, we do not access password-protected pages or those that require
sign-in or CAPTCHA verification, and we conduct diligence on the training data that we
use. The crawler operates transparently—website operators can easily identify when it has
crawled their web pages and signal their preferences to us. ..."". The privacy documentation does not clarify specific sources of data relevant to Claude 4."
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ","Opt-out notices are provided in-app, privacy dashbaords are persistently available, and there is privacy FAQ documentation in our help center."
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.","This information is proprietary and not disclosed publicly to protect competitive advantages and intellectual property. (Furthermore, disclosing licensed data sources does not necessarily make the development more responsible)"
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,"This information is proprietary and not disclosed publicly to protect competitive advantages and intellectual property. (Furthermore, disclosing licensed data sources does not necessarily make the development more responsible)"
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.","""We acquire human-generated data from our internal data generation teams as well as a variety of third party data generation vendors.

Further details are proprietary and not disclosed publicly to protect competitive advantages and intellectual property."""
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.","The most relevant document is the Claude 4 System Card and the Anthropic Inbound Services Agreement. The relevant passage on data acquisition states: ""Claude Opus 4 and Claude Sonnet 4 were trained on a proprietary mix of publicly available
information on the Internet as of March 2025, as well as non-public data from third parties,
data provided by data-labeling services and paid contractors, data from Claude users who
have opted in to have their data used for training, and data we generated internally at
Anthropic. ... "" The relevant passage on crowd workers states: ""Anthropic partners with data work platforms to engage workers who help improve our
models through preference selection, safety evaluation, and adversarial testing. Anthropic
will only work with platforms that are aligned with our belief in providing fair and ethical
compensation to workers, and committed to engaging in safe workplace practices
regardless of location, following our crowd worker wellness standards detailed in our
Inbound Services Agreement.""  The associated text in the Inbound Services Agreement states: ""if Contractor is providing crowd work or crowdsourcing services under this Agreement, Contractor will comply with the minimum expectations and consider implementing best practices described in Anthropic's wellbeing standards for crowd work vendors (a copy of which can be found here or provided by Anthropic at Contractor's request); """
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.","The most relevant document is the Claude 4 System Card and the Anthropic Inbound Services Agreement. The relevant passage on data acquisition states: ""Claude Opus 4 and Claude Sonnet 4 were trained on a proprietary mix of publicly available
information on the Internet as of March 2025, as well as non-public data from third parties,
data provided by data-labeling services and paid contractors, data from Claude users who
have opted in to have their data used for training, and data we generated internally at
Anthropic. ... "" The relevant passage on crowd workers states: ""Anthropic partners with data work platforms to engage workers who help improve our
models through preference selection, safety evaluation, and adversarial testing. Anthropic
will only work with platforms that are aligned with our belief in providing fair and ethical
compensation to workers, and committed to engaging in safe workplace practices
regardless of location, following our crowd worker wellness standards detailed in our
Inbound Services Agreement.""  The associated text in the Inbound Services Agreement states: ""if Contractor is providing crowd work or crowdsourcing services under this Agreement, Contractor will comply with the minimum expectations and consider implementing best practices described in Anthropic's wellbeing standards for crowd work vendors (a copy of which can be found here or provided by Anthropic at Contractor's request); """
