Indicator,Definition,Notes,Disclosure
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","We use the following four data acquisition methods to build our model:
(1)        acquire existing public datasets
(2)        crawl the web
(3)        license existing data from external parties
(4)        use models to generate new, synthetic data"
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,"The top five largest sources of publicly acquired datasets are:
(1) Fineweb
(2) DCLM-Baseline
(3) IBM-crawled datasets
(4) StarCoderdata
(5) Github Clean"
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).",We use a Scrapy-based crawler that verifies compliance with robots.txt for every URL.  We often leverage the crawler name IBMCrawlerBot.
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,"As a B2B company, IBM does not collect and use prompts from watsonx for Granite training. Refer to the terms and conditions of watsonx regarding security and privacy: https://dataplatform.cloud.ibm.com/docs/content/wsj/analyze-data/fm-security.html?context=wx&utm_source=chatgpt.com. “IBM does not use your work to improve IBM models” and “IBM does not monitor or log foundation model input.” "
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ","Not applicable. As a B2B company, IBM does not collect and use prompts from watsonx for Granite training. Refer to the terms and conditions of watsonx regarding security and privacy: https://dataplatform.cloud.ibm.com/docs/content/wsj/analyze-data/fm-security.html?context=wx&utm_source=chatgpt.com. “IBM does not use your work to improve IBM models” and “IBM does not monitor or log foundation model input.” "
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.","We license data from OntoChem IT Solutions, Webhose, IEEE, and Scale."
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,"We compensate OntoChem IT Solutions, IEEE, and Scale with a license fee.  We cannot disclose information on compensation for our relationships with Webhose due to contractual terms that prohibit public disclosure."
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.",We did not acquire net new human-generated data.
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.",Not applicable -- refer to question 9 above.
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.",Not applicable -- refer to question 9 above.
