Indicator,Definition,Notes,Disclosure,Justification,References,Score
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","No information provided about data acquisition, though Mistral notes, in general, that ""We do not communicate on our training datasets. We keep proprietary some intermediary assets (code and resources) required to produce both the Open-Source models and the Optimized models. Among others, this involves the training logic for models and the datasets used in training""",No information provided and Mistral makes clear they do not provide information about the training data.,https://help.mistral.ai/en/articles/347390-does-mistral-ai-communicate-on-the-training-datasets,0
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).","No information provided about crawling relevant for training data acquisition though information is provided for user actions: ""MistralAI-User is for user actions in LeChat. When users ask LeChat a question, it may visit a web page to help answer and include a link to the source in its response. MistralAI-User governs which sites these user requests can be made to. It is not used for crawling the web in any automatic fashion, nor to crawl content for generative AI training.""",No information provided and Mistral makes clear they do not provide information about the training data.,https://docs.mistral.ai/robots/,0
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,"Section 2: ""How we use Your Data. We do not use Your Data to train our artificial intelligence models except (a) when you use the Mistral AI Products under a free subscription, Le Chat Pro or Le Chat Student and you have not opted-out of training, (b) when you use Le Chat and provide Feedback to us, and (c) when Your Data is flagged as part of our automated moderation or under Section (Illegal Content), to improve the Mistral AI Products and enforce our Usage Policy. You grant us a worldwide, non-exclusive, non-transferable (except as permitted in Section  10 (Assignment), royalty-free, fully-paid license (with the right to sublicense to its delegates and subcontractors) to  use Your Data for the purpose of (a) providing, maintaining and optimizing the Mistral AI Products, which includes debugging, assessing, reviewing and correcting the performance of the Mistral AI Products but excludes model training, (b) performing our obligations under these Terms and (c) as applicable and solely in the cases provided in the previous sentence, to train our artificial intelligence models, each for the duration necessary to achieve the intended purposes.""","While this provides some information related to the role of usage data in model training, it does not directly address the indicator.",https://mistral.ai/terms#terms-of-service,0
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ","Section 2: ""How we use Your Data. We do not use Your Data to train our artificial intelligence models except (a) when you use the Mistral AI Products under a free subscription, Le Chat Pro or Le Chat Student and you have not opted-out of training, (b) when you use Le Chat and provide Feedback to us, and (c) when Your Data is flagged as part of our automated moderation or under Section (Illegal Content), to improve the Mistral AI Products and enforce our Usage Policy. You grant us a worldwide, non-exclusive, non-transferable (except as permitted in Section  10 (Assignment), royalty-free, fully-paid license (with the right to sublicense to its delegates and subcontractors) to  use Your Data for the purpose of (a) providing, maintaining and optimizing the Mistral AI Products, which includes debugging, assessing, reviewing and correcting the performance of the Mistral AI Products but excludes model training, (b) performing our obligations under these Terms and (c) as applicable and solely in the cases provided in the previous sentence, to train our artificial intelligence models, each for the duration necessary to achieve the intended purposes.""","While this provides some information related to the role of usage data in model training, it does not directly address the indicator.",https://mistral.ai/terms#terms-of-service,0
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.",No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.",No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.",No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.",No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Synthetic data sources,What are the top-5 sources (by volume) of synthetic data acquired for building the model?,We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Synthetic data purpose,"For the top-5 sources of synthetically generated data, what is the primary purpose for data generation?",We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,No information provided about data acquisition.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data processing methods,What are the methods the developer uses to process acquired data to determine the data directly used in building the model?,"We will award this point for disclosure of all of the methods used to process acquired data. Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.",No information provided about data processing.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data processing purpose,"For each data processing method, what is its primary purpose?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.",No information provided about data processing.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data processing techniques,"For each data processing method, how does the developer implement the method?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.",No information provided about data processing.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
