Indicator,Definition,Notes,Disclosure,Justification,References,Score
Data acquisition methods,What methods does the developer use to acquire data used to build the model?,"Which of the following data acquisition methods does the developer use:  
(i) acquiring existing public datasets,
(ii) crawling the web,
(iii) using data acquired via its existing products and services,
(iv) licensing existing data from external parties,
(v) having humans create or annotate new data, 
(vi) using models to generate new data,  or
(vii) other data acquisition methods not captured by the above.

For example, if the developer uses reinforcement learning from human feedback to train models using model-generated outputs with human preference annotations, this would satisfy categories (v) and (vi).

Alternatively, if the developer post-trains its model using off-the-shelf preference data (for example, the Alpaca dataset), this would satisfy category (i).","Palmyra X5 has been trained on a mix of publicly available data from the Internet, data licensed from third parties, and using models to synthetically generate new data. We do not use customer data to train our model. Please see writer.com/trust. ","The developer acquires data from existing public datasets, crawling the web, licensing existing data from external parties, having humans create or annotate new data, and using models to generate new data. They do not use customer data to train their flagship model.",,1
Public datasets,What are the top-5 sources (by volume) of publicly available datasets acquired for building the model?,We define a source as the entity or means by which the developer acquires data. We define the top-5 sources as the top-5 sources by data volume. ,Not disclosed,No information provided.,,0
Crawling,"If data collection involves web-crawling, what is the crawler name and opt-out protocol?","We award this point for disclosure of the crawler name and opt-out protocols, including if/how they respect the Robots Exclusion Protocol (robots.txt).",Not disclosed,No information provided.,,0
Usage data used in training,What are the top-5 sources (by volume) of usage data from the developer's products and services that are used for building the model?,We define usage data as data collected from the use of a developer's products or services.,"Palmyra X5 has not been trained on any data provided to us by our users, which includes inputs and any output content. In other words, we do not use customer data to train our model. Please see writer.com/trust. ",No usage data used for training,,1
Notice of usage data used in training,"For the top-5 sources of usage data, how are users of these products and services made aware that this data is used for building the model?","We define usage data notice as the proactive disclosure to users of how their data is used for model development. For example, via a pop-up with a description, a link to the privacy policy, or link to a description of company practices. ","We do not use customer data (defined as data inputted into our Platform by our customers), including inputs and outputs, to train our models. We make this commitment clear in several places: (1) https://writer.com/trust/; and (2) in our Platform Services Agreement available at https://writer.com/legal/platform-services/. ",No usage data used for training,,1
Licensed data sources,What are the top-5 sources (by volume) of licensed data acquired for building the model?,"We define a source as the entity from which the developer acquires data. For example, the Associated Press is reportedly a source of licensed data for OpenAI.",Not disclosed,No information provided.,,0
Licensed data compensation,"For each of the top-5 sources of licensed data, are details related to compensation disclosed?",We award this point if the model developer describes the compensation structure specified in the contract with the data source or indicates they are prohibited from sharing this information if contractually mandated.,Not disclosed,No information provided.,,0
New human-generated data sources,What are the top-5 sources (by volume) of new human-generated data for building the model?,"We define a source as the entity or means by which the developer acquires data. For example, Scale AI could be a source of new human-generated data. By new, we mean the data is specifically acquired for the purposes of building the model.","We acquire new human-generated data from these sources: 

(1) Open-domain content aggregators: High-volume ingestion from filtered web crawls and other publicly available content to bootstrap general language comprehension.

(2) Enterprise data partnerships: Human-authored financial reports, healthcare records, and legal filings.","The specific sources of new human-generated data are not disclosed, and their relationship with licensed enterprise data and web crawled data is not clear.",,0
Instructions for data generation,"For each of the top-5 sources of human-generated data, what instructions does the developer provide for data generation?","The instructions should be those provided to the data source. For example, if a third-party vendor works directly with the data laborers to produce the data, the instructions from the developer to this vendor should be disclosed.","- Open-domain content aggregators: This data is filtered through automated systems designed to prioritize high-quality, well-formed, and safe language. No labor instructions were involved.
- Enterprise data partnerships: Datasets licensed from third parties must meet stringent legal, compliance, security and privacy (e.g. PII masking) requirements. They must also meet standards for quality, format, and structure.
- Annotation providers (e.g., upwork equivalents): Annotator instructions emphasized neutrality, accuracy, and task relevance. Within the finance domain, annotators were instructed to identify and label patterns of financial risk, extract key business metrics, and summarize complex earnings reports. Domain knowledge in financial accounting was a prerequisite. For data to be used in DPO, annotators used a structured evaluation rubric to rank model outputs based on helpfulness, factual accuracy, and user intent alignment. They received detailed onboarding and iterative feedback on early rounds to calibrate their judgments.
- Medical and legal subject matter experts (SMEs): Within the healthcare domain, documentation contributors were instructed to annotate medical records with appropriate codes, paraphrase physician notes in layperson-friendly language, and validate drug-diagnosis pairs. All work was done under strict privacy guidelines. Within the legal domain, reviewers were instructed to segment documents into functional categories (e.g., clauses, obligations), identify legally relevant language, and rewrite summaries.
- Synthetic instructional generation with human validation: Human evaluators were asked to assess data quality and relevance, validate labels, and audit for safety and bias.
","Annotators akin to Upwork crowdworkers were instructed to focus on neutrality, accuracy, and task relevance. For finance, annotators were instructed to identify and label patterns of financial risk, extract key business metrics, and summarize complex earnings reports. Domain knowledge in financial accounting was a prerequisite. For data to be used in DPO, annotators used a structured evaluation rubric to rank model outputs based on helpfulness, factual accuracy, and user intent alignment. They received detailed onboarding and iterative feedback on early rounds to calibrate their judgments. Within the healthcare domain, documentation contributors were instructed to annotate medical records with appropriate codes, paraphrase physician notes in layperson-friendly language, and validate drug-diagnosis pairs. All work was performed in line with our internal privacy guidelines and procedures. Within the legal domain, reviewers were instructed to segment documents into functional categories (e.g., clauses, obligations), identify legally relevant language, and rewrite summaries.",,1
Data laborer practices,"For the top-5 sources of human-generated data, how are laborers compensated, where are they located, and what labor protections are in place?","For each data source, we require (i) the compensation in either USD or the local currency, (ii) any countries where at least 25% of the laborers are located, and (iii) a description of any labor protections. We will award this point if the developer discloses that it is not aware of data laborer practices.","We are not aware of the data labor practices because to the extent we have acquired/used human-generated data by employees of third parties, we are not aware of their data labor practices.",The developer is not aware of the data labor practices and explains why that is the case.,,1
Synthetic data sources,What are the top-5 sources (by volume) of synthetic data acquired for building the model?,We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,We synthetically generate data using an internally developed model specifically designed to produce synthentic data.,"The developer confirms there is a single source of synthetic data, which is generated through an internal-only model.",,1
Synthetic data purpose,"For the top-5 sources of synthetically generated data, what is the primary purpose for data generation?",We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,"We use synthetic data generated from an internally developed model specifically designed for that purpose, the primary purpose of which is to create high quality, domain‑specific data to fine‑tune the model’s expertise for enterprise applications. ",Generating synthetic data for specific domains in relation to enterprise applications.,,1
Data processing methods,What are the methods the developer uses to process acquired data to determine the data directly used in building the model?,"We will award this point for disclosure of all of the methods used to process acquired data. Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","Filtering: Language and quality filters were applied using a combination of regex-based heuristics and transformer-based toxicity classifiers. Enterprise-specific filters removed irrelevant documents from sensitive domains (e.g., consumer reviews from legal datasets).

Deduplication: Near-duplicate documents were identified using MinHash fingerprinting and cosine similarity over document embeddings. We retained one representative instance per cluster while prioritizing authoritative sources.

Normalization: We implemented domain-specific normalization functions (e.g., standardizing legal citations, converting dates to ISO format, unifying terminology across financial documents) to reduce variance without altering factual content.

Anonymization/De-identification: Protected health information (PHI), personally identifiable information (PII), and other identifiers were removed using hybrid rule-based and named entity recognition (NER) models. Anonymization scripts were evaluated for recall and precision by human reviewers.

Instruction Formatting: Alignment data was formatted into human preference pairs with detailed rubrics and quality assurance. Annotator instructions emphasized neutrality, accuracy, and task relevance.
","The methods for data processing (filtering, deduplication, normalization, anonymization, instruction formatting) are provided.",,1
Data processing purpose,"For each data processing method, what is its primary purpose?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","Primary purposes include: removes low quality data, removes potentially personal data, removes toxic data, improves evaluation integrity, prepares the data for training the model.

",The purpose for each data processing method is provided.,,1
Data processing techniques,"For each data processing method, how does the developer implement the method?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","Filtering: Language and quality filters were applied using a combination of regex-based heuristics and transformer-based toxicity classifiers. Enterprise-specific filters removed irrelevant documents from sensitive domains (e.g., consumer reviews from legal datasets).


Deduplication: Near-duplicate documents were identified using MinHash fingerprinting and cosine similarity over document embeddings. We retained one representative instance per cluster while prioritizing authoritative sources.


Normalization: We implemented domain-specific normalization functions (e.g., standardizing legal citations, converting dates to ISO format, unifying terminology across financial documents) to reduce variance without altering factual content.


Anonymization/De-identification: Protected health information (PHI), personally identifiable information (PII), other identifiers were removed using hybrid rule-based and named entity recognition (NER) models. Anonymization scripts were evaluated for recall and precision by human reviewers.


Instruction Formatting: Alignment data was formatted into human preference pairs with detailed rubrics and quality assurance. Annotator instructions emphasized neutrality, accuracy, and task relevance.

",The techniques for implementing each data processing method is provided.,,1
Data size,Is the size of the data used in building the model disclosed?,"To receive this point, the developer should report data size in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). The size should reflect data directly used in building the model (i.e. training data) and not data that was acquired but unused, or data used to evaluate the model.","Text (Pretraining) - 4 trillion tokens
Text (Fine-Tuning) - 80 billion tokens
Alignment Data (Text) - 20 million pairs
Vision-Text Pairs - 200 million image-text pairs
OCR Documents - 15 million scanned docs

",4.08 trillion tokens; 20 million preference pairs; 200 million text-image pairs; 15 million OCR scanned documents,,1
Data language composition,"For all text data used in building the model, what is the composition of languages?","To receive this point, the developer should report (i) all languages which make up at least 1% of the data and their corresponding proportions and (ii) a brief description of how languages are labeled (if a publicly available tool is used, include a link to the tool). Proportions should be reported to a precision of two significant figures and should describe proportions of documents labeled with some langauge. An ""Unknown"" category may be included to denote documents where the language could not be identified.","
English - 82.00%
Spanish - 5.30%
French - 3.90%
German - 2.10%
Arabic - 1.70%
Unknown/Other - 5.00%

FastText’s language identification model (lid.176.bin) was used to label documents by language.

","Language distribution across English/Spanish/French/German/Arabic is provided, with 5% unknown/other, based on FastText language identification.",,1
Data domain composition,"For all the data used in building the model, what is the composition of domains covered in the data?","To receive this point, the developer should report the composition of the main domains included in the data used to train the model. This data should be at a level of granularity lower than broad claims about training on ""internet data"". For example, this could include the proportion of data from e-commerce, social media, news, code, etc. based on the URLs from which the data is sourced. Proportions should be reported to a precision of one significant figure.",Not disclosed,No information provided.,,0
External data access,Does a third-party have direct access to the data used to build the model?,"By a third-party, we mean entities that are financially independent of the developer.  We will award this point if at least one such entity is named as having direct access to the data. With that said, we may award this point if the developer provides justifications for prohibiting access to narrowly-scoped parts of the data. ","No third parties have access to the data used to build the model. We limit access (i.e. we do not provide external parties with access to training data) due to a mixture of concerns related to the proprietary nature of models we create, confidentiality, and security.",No external parties are provided access to training data though the developer explains why they do not disclose this information. ,,0
Data replicability,Is the data used to build the model described in enough detail to be externally replicable?,We will award this point if the description contains (i) a list of all publicly available training data and where to obtain it and (ii) a list of all training data obtainable from third parties and where to obtain it. These conditions refer to criteria 2 and 3 under the OSI Open Source AI v1.0 definition.,Not disclosed,No information provided.,,0
