Indicator,Adept,AI21 Labs,Aleph Alpha,Amazon,Anthropic,BigCode,Google,IBM,Meta,Microsoft,Mistral,OpenAI,Stability,Writer
Data size,,A corpus of 1.2 trillion tokens.,3.9TB and 1T tokens in total.,,,"The training dataset contains 783GB of code in 86 programming languages, and includes 54GB GitHub Issues + 13GB Jupyter notebooks in scripts and text-code pairs, and 32GB of GitHub commits, which is approximately 250 Billion tokens.",,2.5 trillion tokens. ,,"huggingface, model section",,,,Writer says it trained Palmyra on 3 trillion tokens
Data sources,,"A filtered and curated version of the CommonCrawl dataset, Wikipedia, the BookCorpus dataset and arxiv/stackexchange.",,,,"The data used to train this model is a subset of The Stack v1.2, a collection of public GitHub repositories (see section 3 of [1]). Each individual repositories can be accessed through the following url: https://github.com/<repo> where <repo> is pulled from the column max_stars_repo_name (see dataset viewer of [2]). Annotation on data quality was done by 18 Bigcode Community members (see [3]",,20 data sources are disclosed by name.,,in the model scorecard,,,,Additional training data details are shared with customers under NDA.
Data creators ,,"Most of the internet-connected population is from industrialized countries, wealthy, younger, and male, and is predominantly based in the United States.","No further curation beyond the data sources and filtering mentioned in the pre-processing has been performed, thereby ensuring the integrity of each data source. Therefore, the source data represents an unbiased demographic distribution of global authors fluent in the selected languages.",,,"The data creators are GitHub users that created unique repository names between January 1st, 2015, and March 31st, 2022 (see [1]). It is possible to infer the usernames or an organization from the left part of the repository name in the column max_stars_repo_name (see dataset viewer of [4]). It contains code in 86 programming languages (see tables 1 & 2 of the starcoder paper for the detailed breakdown [2]). The distribution of natural languages of extracted docstring and comments is not available but can be computed with a fasttext model, the same methodology used on The Stack (see [3] for more details).
Data quality was manually assessed by 18 BigCode community members (see Visual Assessment of section 3.1 of [2]). Their name can be found in this report [5] but are not part of the data used to train this model.
PII annotation was done by 1399 crowdworkers from Toloka (see section 4.1 of [2]) and their country is listed in Table B.1 of [2] (Note that the distribution is not available).",,"For 19 out of the 20 data sources, by specifying the data source, it can be inferred who the creator was, e.g. a life scientist, federal or state judges, and inventors. The creators of data source 13, Webhose, are not clear.",,,,,,
Data source selection,,"Sources were selected based on available content to create an LLM useful for professional, knowledge worker productivity scenarios.","The dataset was curated to ensure a balanced representation of various languages across a range of styles and formats, focusing on quality of sources (minimal duplicates and artifacts, text coherence), diversity (spanning styles, world knowledge and domains), relevance to our customers/domain (language mix, domain-specific knowledge), and source availability/cost to obtain.",,,"The data used to train this model is a subest of the Stack v1.2, a collection of public and permissively licensed GitHub repo. The data collection process is the same as v1.0 (see section 3 of [1] for the details) with the exenteded list of licenses listed in Appendix B of [1] but without the copyleft licenses MPL, EPL, LGPL, and opt-out requests submitted by 09.02.2023 were also excluded (see [2]). The programming languages are selected based on popularity and configuration languages + no longer supported languages were excluded (see tables 1 & 2 of [3] for the full list and refer to section 3.1 of [3] for the the details) .",,"The technical report states: “To support the training of large enterprise-grade foundation models, including granite.13b, IBM curated a massive dataset of relevant unstructured language data from sources across academia, the internet, enterprise (e.g., financial, legal), and code. … The Granite pre-training dataset was created as a proprietary alternative to commonly used open-source data compilations for LLM training such as “ThePile” or “C4”. Some domains that are key for enterprise natural language processing are relatively under-represented in these compilations. Additionally these data compilations have been criticized for containing toxic, harmful, or pirated content. By curating our own pre-training data corpus, IBM takes significant steps towards addressing these and other issues.”",,filtering using GPT4 explained in the Phi1.5 paper and Phi-1 and linked in the blogpost,,,,
Data curation,,Data was curated to exclude sites with robot files indicating the presence of copyright material and/or PII.,"Source data has been filtered according to established language classifiers and corresponding scores, as well as Aleph Alpha’s own supervised-trained quality classifiers as well as selected among structured datasets. The Luminous quality classifiers has the following properties:

Classifiers were trained to identify undesired text types, such as non-readable text
For each language, we trained a separate classifier
We have not filtered training data beyond this score-based and quality-based filtering.",,"Several data cleaning and filtering methods, including deduplication and classification","The data cleaning protocole combined heuristic filtering and manual inspection is described in section 3 of [1]. 
It includes excluding configuration languages and programming languages no longer supported, heuristic filtering of Git issues and commits (see Table 4 of [1]), and near-deduplication. Additionally, some language-specific filters were applied (see section 3.1 of [1] for details). Some malicious code were also excluded (see section 10.2 of [1]).",,"Section II-B of the technical report describes all data curation and filtering done, including filtering for hate, abuse, and profanity.",,to some extent explained in the Phi1.5 paper and Phi-1 and linked in the blogpost,"Personally Identifiable Information (PII) is eliminated through a data filtration process. We are implementing various techniques to remove duplicates and harmful content from the pre-training data. 
 
 Regarding the Instruction Finetuning as described in Section 4. of our paper, ""we fine-tuned it on instruction datasets publicly available on the Hugging Face repository. No proprietary data or training tricks were utilized""",,,"Additional training data details are shared with customers under NDA.
"
Data augmentation,,No data augmentation is involved.,Data sources have not been augmented nor have we generated any synthetic data.,,,No steps taken to augment the training data (see section 3 of [1]).,,"For the supervised fine-tuning, it is reported that “internal synthetic datasets specifically designed for summarization and dialogue tasks” are used.",,filtering using GPT4 explained in the Phi1.5 paper and Phi-1 and linked in the blogpost,"Regarding the Instruction Finetuning as described in Section 4. of our paper, ""we fine-tuned it on instruction datasets publicly available on the Hugging Face repository. No proprietary data or training tricks were utilized""",,,"Leverage data augmentation techniques (see the section entitled ""Data Augmentation with Ethical Considerations"" in the supplemented version of the Palmyra-X Technical Report (the ""Updated Report""). "
Harmful data filtration,,No harmful data filtration is conducted.,No harmful data filtration is conducted.,"In the blog post, we stated that: ""For our Titan Foundation Models, AWS uses data from the following sources for training: (1) data licensed from third parties; (2) open-source datasets; and (3) publicly-available data where appropriate. Before including datasets in the Titan Foundation Models’ training data, AWS reviews them for possible bias, toxicity, legal, and other quality considerations."" In the Titan Text AI service Card, we also mentioned that :""We tune safety filters (such as privacy-protecting and profanity-blocking filters) to block or evade potentially harmful prompts and responses to further increase alignment with our design goals.""",,Some malicious code detected by ClamAV [2] on the Hugging Face platform were removed (see section 10.2 of [1]).,,"Hate, abuse and profanity filtering is clearly described in Section II-B of the technical report.",,filtering using GPT4 explained in the Phi1.5 paper and Phi-1 and linked in the blogpost,"In our development process, we have indeed implemented a rigorous filtration system to ensure the exclusion of harmful data during pre-training and instruction. This includes the removal of any content related to violence, erotic themes, or any form of child sexual abuse material. We are committed to maintaining a safe and respectful environment in all our operations. We are teaming up with Thorn and AllTechIsHuman to work on implementing child safety in our technology to prevent the creation and spread of AI generated CSAM",,,"Please see https://dev.writer.com/docs/toxic-check. ""Please see https://dev.writer.com/docs/overview-of-the-generative-ai-workflow for a diagram and description of safety filters we implement (called Toxic Checkers). 

Please also see https://dev.writer.com/docs/toxic-check, which discusses how Writer classifies input and output textual data and predicts toxicity level."""
Data copyright status,,,,"In the blog post, we stated that: ""For our Titan Foundation Models, AWS uses data from the following sources for training: (1) data licensed from third parties; (2) open-source datasets; and (3) publicly-available data where appropriate. Before including datasets in the Titan Foundation Models’ training data, AWS reviews them for possible bias, toxicity, legal, and other quality considerations.""",,The license of every repository in the Stack v1.2 is specified in the column max_stars_repo_licenses (see dataset viewer of [1]).,,Copyright filtering is clearly described in Section II-A of the technical report. ,,all web data used are available on huggingface with license/copyright files,,,,
Data license status,,,,"""For our Titan Foundation Models, AWS uses data from the following sources for training: (1) data licensed from third parties; (2) open-source datasets; and (3) publicly-available data where appropriate. Before including datasets in the Titan Foundation Models’ training data, AWS reviews them for possible bias, toxicity, legal, and other quality considerations. We store training data in secure repositories that are subject to robust access controls consistent with AWS’s state of the art data security policies. We treat training data as confidential AWS information, and apply appropriate security and access controls. In particular, we encrypt all data in transit and data that is persisted at rest.""",,The license of every repository in the Stack v1.2 is specified in the column max_stars_repo_licenses (see dataset viewer of [1]).,,"In Section II of the technical report, the individual datasets used for training are described in detail.  ",,all web data used are available on huggingface with license files,,,,
Personal information in data,,,,,,"Section 4 of [1] describes the efforts to redact PII from the training data. 
We leveraged the StarPII model to detect names, usernames, emails, IP addresses, keys, passwords, and IDs (see Table 7 of [1] for the distribution). The performance of this model is reported in [2].
To mask IP addresses, we randomly selected an IP address from 5 synthetic, private, non-internet-facing IP addresses of the same type that can be found in Appendix C of [1]. Other detected PII were replaced by the appropriate token: <NAME>, <EMAIL>, <KEY>, <PASSWORD>. Usernames in GitHub issues were anonymized by replacing them with a participant counter within the conversation, e.g. username_1 to refer to second participant.
Data quality was manually assessed by 18 BigCode community members (see Visual Assessment of section 3.1 of [2]). Their name can be found in this report [3] but are not part of the data used to train this model.",,"In Section III-A of the technical report, IBM discloses the inclusion of data usage restrictions and sensitivity including personal information. ",,"not applicable, data sources are either public datasets with PII removed or synthetically generated data with no personal information",,,,
