Indicator,Adept,AI21 Labs,Aleph Alpha,Amazon,Anthropic,BigCode,Google,IBM,Meta,Microsoft,Mistral,OpenAI,Stability,Writer
Data size,0,1,1,0,0,1,0,1,1,1,0,0,1,1
Data sources,0,1,0,0,0,1,0,1,0,1,0,0,0,1
Data creators ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data source selection,0,1,0,0,0,1,0,1,0,1,0,0,0,0
Data curation,0,1,1,0,1,1,0,1,1,0,0,1,1,1
Data augmentation,0,1,1,0,0,1,0,1,1,1,1,0,1,1
Harmful data filtration,0,1,1,0,0,1,0,1,1,0,1,1,1,1
Data copyright status,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data license status,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Personal information in data,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Use of human labor,0,1,1,1,0,1,1,1,1,1,1,0,1,1
Employment of data laborers,0,0,1,0,0,1,0,1,0,1,1,0,1,1
Geographic distribution of data laborers,0,0,1,0,0,1,0,0,0,1,1,0,1,1
Wages,0,0,0,0,0,1,0,0,0,1,1,0,1,0
Instructions for creating data,0,1,0,0,1,1,0,0,1,1,1,0,1,0
Labor protections,0,0,1,0,0,1,1,0,0,1,1,1,1,0
Third party partners,0,1,1,0,0,1,0,1,0,1,1,0,1,0
Queryable external data access,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Direct external data access,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Compute usage,0,1,1,0,0,1,0,1,1,1,0,0,0,1
Development duration,0,1,1,0,0,1,0,1,0,1,0,0,0,1
Compute hardware,0,1,1,0,0,1,0,1,1,1,0,0,1,1
Hardware owner,1,1,1,0,1,1,1,1,1,1,1,1,0,1
Energy usage,0,1,1,0,0,1,0,1,1,0,0,0,1,1
Carbon emissions,0,1,1,0,0,1,0,1,1,0,0,0,1,1
Broader environmental impact,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Model stages,0,1,1,1,0,1,1,1,1,1,1,1,1,1
Model objectives,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Core frameworks,0,1,1,0,1,1,1,1,0,1,1,0,0,1
Additional dependencies,0,1,1,0,1,1,0,1,1,1,1,0,1,1
Mitigations for privacy,0,1,1,0,1,1,0,1,1,1,1,1,0,1
Mitigations for copyright,0,1,0,0,0,1,0,1,0,0,0,0,0,1
Input modality,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Output modality,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Model components,0,1,1,1,0,1,1,1,1,1,1,0,1,1
Model size,1,1,1,0,0,1,0,1,1,1,1,0,1,1
Model architecture,1,1,1,1,0,1,1,1,1,1,1,0,1,1
Centralized model documentation,1,1,1,1,1,1,1,1,1,1,1,1,1,1
External model access protocol,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blackbox external model access,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Full external model access,1,0,1,0,0,1,0,0,1,1,1,0,1,0
Capabilities description,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Capabilities demonstration,1,1,1,1,1,1,1,0,1,1,1,1,0,1
Evaluation of capabilities,1,0,1,1,1,1,1,1,1,1,1,1,1,1
External reproducibility of capabilities evaluation,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Third-party capabilities evaluation,0,1,1,0,1,1,0,0,1,1,1,1,0,1
Limitations description,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Limitations demonstration,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Third-party evaluation of limitations,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Risks description,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Risks demonstration,0,1,1,1,1,1,1,0,1,0,0,1,0,0
Unintentional harm evaluation,0,0,0,0,1,1,0,1,1,1,0,0,0,0
External reproducibility of unintentional harm evaluation,0,1,1,1,1,1,0,1,1,1,0,0,0,0
Intentional harm evaluation,0,0,0,0,1,1,1,1,0,0,0,0,0,0
External reproducibility of intentional harm evaluation,0,0,0,0,0,1,0,1,0,0,0,1,0,0
