Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Data size,"For the data used in building the model, is the data size disclosed?","Data size should be reported in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). No form of decomposition into data phases is required.",A corpus of 1.2 trillion tokens.,Disclosed as part of FMTI v1.1,1,,Yes
Data sources,"For all data used in building the model, are the data sources disclosed?","To receive this point, a meaningful decomposition of sources must be listed in an understandable way (e.g. named URLs/domains/databases/data providers). It does not suffice to say data is “sourced from the Internet"" or comes from ""licensed sources”.","A filtered and curated version of the CommonCrawl dataset, Wikipedia, the BookCorpus dataset and arxiv/stackexchange.",Disclosed as part of FMTI v1.1,1,,Yes
Data creators ,"For all data used in building the model, is there some characterization of the people who created the data?","While information about data creators may not be easily discernible for some data scraped from the web, the general sources (URLs/domains) should be listed, and, for other data that is bought, licensed, or collected, a reasonable attempt at characterizing the underlying people who provided the data is required to receive this point. The relevant properties of people can vary depending on context: for example, relevant properties could include demographic information like fraction of Black individuals contributing to the dataset, geographic information like fraction of European individuals contributing to the dataset, language information like fraction of L1 English speakers, or occupational information like the fraction of professional artists.","Most of the internet-connected population is from industrialized countries, wealthy, younger, and male, and is predominantly based in the United States.",Disclosed as part of FMTI v1.1,0,"While the disclosure provides useful information, it does not provide a characterization of the data creators specifically associated with the data and, instead, more generically characterizes the Internet in aggregate.",Yes
Data source selection,Are the selection protocols for including and excluding data sources disclosed?,Selection protocols refer to procedures used to choose which datasets or subsets of datasets will be used to build a model. We will award this point even if the selection protocols are non-exhaustive.,"Sources were selected based on available content to create an LLM useful for professional, knowledge worker productivity scenarios.",Disclosed as part of FMTI v1.1,1,,Yes
Data curation,"For all data sources, are the curation protocols for those data sources disclosed?","Curation protocols refer to steps taken to further modify data sources, such as procedures to manage, annotate, and organize data. The aims of curation might include improving the quality, relevance, and representativeness of the data. We will award this point if the developer reports that it does not perform any further curation beyond the data sources.",Data was curated to exclude sites with robot files indicating the presence of copyright material and/or PII.,Disclosed as part of FMTI v1.1,1,,Yes
Data augmentation,Are any steps the developer takes to augment its data sources disclosed?,Such steps might include augmenting data sources with synthetic data. We will award this point if the developer reports that it does not take any steps to augment its data.,No data augmentation is involved.,Disclosed as part of FMTI v1.1,1,,Yes
Harmful data filtration,"If data is filtered to remove harmful content, is there a description of the associated filter?",Such harmful content might relate to violence or child sexual abuse material. We will award this point if the developer reports that it does not perform any harmful data filtration.,No harmful data filtration is conducted.,Disclosed as part of FMTI v1.1,1,,Yes
Copyrighted data,"For all data used in building the model, is the associated copyright status disclosed?","To receive this point, the copyright status (e.g. copyrighted, public domain) must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point or if the disclosure is not comprehensive relative to legal copyright standards.",,,0,,No
Data license,"For all data used in building the model, is the associated license status disclosed?","To receive this point, the license status must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point.",,,0,,No
Personal information in data,"For all data used in building the model, is the inclusion or exclusion of personal information in that data disclosed?","To receive this point, the disclosure of personal information must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point. Additionally, we will award this point if the developer reports the inclusion of personal information, independent of if and how they mitigate related privacy concerns.",,,0,,No
Use of human labor,Are the phases of the data pipeline where human labor is involved disclosed?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the use of human labor in their data pipeline.","The creation of a training dataset can be viewed as a pipeline consisting of selection, curation,
filtering, augmentation and ingestion. This process is iterative and involves both human and
machine evaluation in each phase of the pipeline. Employees of AI21 are involved in every
phase and third-party organizations are used in the filtering and augmentation phases of the
data pipeline and in later testing (e.g. red-teaming) to provide external review and validation.",Disclosed as part of FMTI v1.1,1,,Yes
Employment of data laborers,Is the organization that directly employs the people involved in data labor disclosed for each phase of the data pipeline?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer provides the name of the organization that employs data laborers, even if other details about the employment relationship are not disclosed.",,,0,,No
Geographic distribution of data laborers,Is geographic information regarding the people involved in data labor disclosed for each phase of the data pipeline?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the geographic distribution of labor at the country-level.,,,0,,No
Wages,Are the wages for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. We will award this point if the developer reports that it does not compensate workers. For all data that is created by or on behalf of the developer, ",,,0,,No
Instructions for creating data,Are the instructions given to people who perform data labor disclosed?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer makes a reasonable best-effort attempt to disclose instructions given to people who create data used to build the model for the bulk of the data phases involving human labor.,"Data is created through a third-party vendor. The instructions provided in a work to the vendor are as follows: "" Model evaluation includes 4 model evaluation runs, totaling 4 insights reports and up to 15,000 prompts testing against model bias, toxicity, safety in alignment with our responsible use guidelines (with associated ratings, rankings, written feedback, and anonymized evaluator
ids).

Prompts will be single-turn and supported by 3x human consensus for each prompt/response pair. Pipeline will include quantitative (rating and ranking) and qualitative (written)
feedback, and evaluation. Evaluators will be a mix of prompt-engineering trained generalists and domain experts (including PhDs).

Evaluators will start with an overall evaluation of the model in the first week to establish an overall view and baseline of performance. After the first week, evaluators will develop and run prompts in areas where the model requires alignment and/or improvement.

Evaluators are instructed to subjectively evaluate responses to prompts for specific risk areas such as bias (western bias, political bias, socio-economic bias and/or bias toward/against any identifiable group) toxicity (malicious, harmful), mis/disinformation (conspiracy theories, deceptive), coherence and consistency (contradictory answers to similar questions), recency and accuracy (answers that are clearly dated or factually wrong). When responses are rated poorly, evaluators are asked to create an improved/corrected response to contribute to subsequent training. 

Additionally, after an updated model endpoint is provided, evaluators will compare how the model is performing on an absolute basis, as well as relative to the old model and to the new model, highlighting overall strengths/weaknesses and displaying where the model regressed.""




",Disclosed as part of FMTI v1.1,1,"We award the point for the combination of a high-level description of the information provided to data laborers as well as the precise instructions provided to the data vendor who, in turn, engages directly with the data laborers.",Yes
Labor protections,Are the labor protections for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. It is also inclusive of all data that is created by or on behalf of the developer. As an example, labor protections might include protocols to reduce the harm to workers' mental health stemming from exposure to violent content when annotating training data. We will award this point if the developer reports that it does not protect workers or if it does not use data laborers and therefore has no labor protections.","We have conducted due dillegence in this area. In our contracts we do not have permission to share these details publicly, but are able to share with customers under NDA.",Disclosed as part of FMTI v1.1,0,"While the disclosure provides useful information, for this version of the Index, we require information be publicly available to award points.",Yes
Third party partners,Are the third parties who were or are involved in the development of the model disclosed?,This indicator is inclusive of partnerships that go beyond data labor as there may be third party partners at various stages in the model development process. We will award this point if the developer reports that it was the sole entity involved in the development of the model.,No third parties are involved.,Disclosed as part of FMTI v1.1,1,,Yes
Queryable external data access,Are external entities provided with queryable access to the data used to build the model?,"We will award this point for any reasonable mechanism for providing access: direct access to the data, an interface to query the data, a developer-mediated access program where developers can inspect requests, etc. Developers may receive this point even if there are rate-limits on the number of queries permitted to an external entity and restrictions on which external entities are given access, insofar as these limits and restrictions are transparent and ensure a reasonable amount of external access. We may accept justifications for prohibiting queries of specific parts of the data.",,,0,,No
Direct external data access,Are external entities provided with direct access to the data used to build the model?,"We will award this point if external entities can directly access the data without any form of gating from the developer. With that said, we may award this point if the developer provides justifications for prohibiting access to specific parts of the data or to unauthorized external entities.",,,0,,No
Compute usage,Is the compute required for building the model disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPS). Compute should be reported to a precision of one significant figure (e.g. 5 x $10^{25}$ FLOPS). We will award this point even if there is no decomposition of the reported compute usage into compute phases, but it should be clear whether the reported compute usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate compute expenditure.",6.00 x 10^23 FLOPs,Disclosed as part of FMTI v1.1,1,,Yes
Development duration,Is the amount of time required to build the model disclosed?,"The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, training and subsequent evaluation and red teaming).",8 weeks,Disclosed as part of FMTI v1.1,1,,Yes
Compute hardware,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.",768 NVIDIA A100s and 2048 TPUv4s,Disclosed as part of FMTI v1.1,1,,Yes
Hardware owner,"For the primary hardware used in building the model, is the owner of the hardware disclosed?","For example, the hardware owner may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that hardware is owned by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.",Amazon Web Services and Google Cloud Platform,Disclosed as part of FMTI v1.1,1,,Yes
Energy usage,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh). Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage.","570,000 - 760,000 kWh",Disclosed as part of FMTI v1.1,1,"We award this point because the estimated energy usage is reasonably precise, even if the first significant figure is not fully clear and could be any of 5, 6, or 7.",Yes
Carbon emissions,Is the amount of carbon emitted (associated with the energy used) in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2). Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions.",2-300 tCO2eq,Disclosed as part of FMTI v1.1,1,"We award this point because the estimated emissions is reasonably precise, even if the first significant figure is not fully clear and could be any of 2 or 3.",Yes
Broader environmental impact,Are any broader environmental impacts from building the model besides carbon emissions disclosed?,"While the most direct environmental impact of building a foundation model is the energy used and, therefore, the potential carbon emissions, there may be other environmental impacts. For example, these may include the use of other resources such as water for cooling data centers or metals for producing specialized hardware. We recognize that there does not exist an authoritative or consensus list of broader environmental factors. For this reason, we will award this point if there is a meaningful, though potentially incomplete, discussion of broader environmental impact.","While we are aware that there are potentially additional environmental impacts of training (e.g. water usage for cooling), each of our compute providers have active sustainability and carbon offset programs specific to their datacenter locations and operations. For details see https://blog.google/outreach-initiatives/sustainability/our-commitment-to-climate-conscious-data-center-cooling/ and https://sustainability.aboutamazon.com/natural-resources/water",Disclosed as part of FMTI v1.1,0,"The disclosure, while helpful, is insufficient for this indicator because it does not clearly articulate (even if incompletely) the broader environmental impacts associated with training this specific model.",Yes
