Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Data size,"For the data used in building the model, is the data size disclosed?","Data size should be reported in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). No form of decomposition into data phases is required.","The training dataset contains 783GB of code in 86 programming languages, and includes 54GB GitHub Issues + 13GB Jupyter notebooks in scripts and text-code pairs, and 32GB of GitHub commits, which is approximately 250 Billion tokens.",https://huggingface.co/datasets/bigcode/starcoderdata#dataset-description,1,783 GB (86 programming languages),No
Data sources,"For all data used in building the model, are the data sources disclosed?","To receive this point, a meaningful decomposition of sources must be listed in an understandable way (e.g. named URLs/domains/databases/data providers). It does not suffice to say data is “sourced from the Internet"" or comes from ""licensed sources”.","The data used to train this model is a subset of The Stack v1.2, a collection of public GitHub repositories (see section 3 of [1]). Each individual repositories can be accessed through the following url: https://github.com/<repo> where <repo> is pulled from the column max_stars_repo_name (see dataset viewer of [2]). Annotation on data quality was done by 18 Bigcode Community members (see [3]","[1] https://arxiv.org/pdf/2305.06161.pdf 
[2] https://huggingface.co/datasets/bigcode/starcoderdata",1,"Data source is The Stack v1.2, which itself is derived from public GitHub repositories. ",No
Data creators ,"For all data used in building the model, is there some characterization of the people who created the data?","While information about data creators may not be easily discernible for some data scraped from the web, the general sources (URLs/domains) should be listed, and, for other data that is bought, licensed, or collected, a reasonable attempt at characterizing the underlying people who provided the data is required to receive this point. The relevant properties of people can vary depending on context: for example, relevant properties could include demographic information like fraction of Black individuals contributing to the dataset, geographic information like fraction of European individuals contributing to the dataset, language information like fraction of L1 English speakers, or occupational information like the fraction of professional artists.","The data creators are GitHub users that created unique repository names between January 1st, 2015, and March 31st, 2022 (see [1]). It is possible to infer the usernames or an organization from the left part of the repository name in the column max_stars_repo_name (see dataset viewer of [4]). It contains code in 86 programming languages (see tables 1 & 2 of the starcoder paper for the detailed breakdown [2]). The distribution of natural languages of extracted docstring and comments is not available but can be computed with a fasttext model, the same methodology used on The Stack (see [3] for more details).
Data quality was manually assessed by 18 BigCode community members (see Visual Assessment of section 3.1 of [2]). Their name can be found in this report [5] but are not part of the data used to train this model.
PII annotation was done by 1399 crowdworkers from Toloka (see section 4.1 of [2]) and their country is listed in Table B.1 of [2] (Note that the distribution is not available).","[1] https://huggingface.co/datasets/bigcode/the-stack#who-are-the-source-language-producers
[2] https://arxiv.org/pdf/2305.06161.pdf 
[3] https://github.com/bigcode-project/bigcode-analysis/tree/main/data_analysis/python_data_analysis/nl_language_identification
[4] https://huggingface.co/datasets/bigcode/starcoderdata
[5] https://docs.google.com/spreadsheets/d/1Lk-pTk_rXI__fCgixr7ZWSi8wR09Zzd2j_G90J80r00/edit?usp=sharing",1,"While information about data creators is not provided directly, extensive metadata information is provided.",No
Data source selection,Are the selection protocols for including and excluding data sources disclosed?,Selection protocols refer to procedures used to choose which datasets or subsets of datasets will be used to build a model. We will award this point even if the selection protocols are non-exhaustive.,"The data used to train this model is a subest of the Stack v1.2, a collection of public and permissively licensed GitHub repo. The data collection process is the same as v1.0 (see section 3 of [1] for the details) with the exenteded list of licenses listed in Appendix B of [1] but without the copyleft licenses MPL, EPL, LGPL, and opt-out requests submitted by 09.02.2023 were also excluded (see [2]). The programming languages are selected based on popularity and configuration languages + no longer supported languages were excluded (see tables 1 & 2 of [3] for the full list and refer to section 3.1 of [3] for the the details) .","[1] https://arxiv.org/pdf/2211.15533.pdf
[2] https://huggingface.co/datasets/bigcode/the-stack#changelog
[3] https://arxiv.org/pdf/2305.06161.pdf",1,Clear source selection methodology via Stack v1.2.,No
Data curation,"For all data sources, are the curation protocols for those data sources disclosed?","Curation protocols refer to steps taken to further modify data sources, such as procedures to manage, annotate, and organize data. The aims of curation might include improving the quality, relevance, and representativeness of the data. We will award this point if the developer reports that it does not perform any further curation beyond the data sources.","The data cleaning protocole combined heuristic filtering and manual inspection is described in section 3 of [1]. 
It includes excluding configuration languages and programming languages no longer supported, heuristic filtering of Git issues and commits (see Table 4 of [1]), and near-deduplication. Additionally, some language-specific filters were applied (see section 3.1 of [1] for details). Some malicious code were also excluded (see section 10.2 of [1]).",[1] https://arxiv.org/pdf/2305.06161.pdf,1,,No
Data augmentation,Are any steps the developer takes to augment its data sources disclosed?,Such steps might include augmenting data sources with synthetic data. We will award this point if the developer reports that it does not take any steps to augment its data.,No steps taken to augment the training data (see section 3 of [1]).,[1] https://arxiv.org/pdf/2305.06161.pdf,1,No data augmentation.,No
Harmful data filtration,"If data is filtered to remove harmful content, is there a description of the associated filter?",Such harmful content might relate to violence or child sexual abuse material. We will award this point if the developer reports that it does not perform any harmful data filtration.,Some malicious code detected by ClamAV [2] on the Hugging Face platform were removed (see section 10.2 of [1]).,"[1] https://arxiv.org/pdf/2305.06161.pdf 
[2] https://huggingface.co/docs/hub/en/security-malware",1,,No
Copyrighted data,"For all data used in building the model, is the associated copyright status disclosed?","To receive this point, the copyright status (e.g. copyrighted, public domain) must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point or if the disclosure is not comprehensive relative to legal copyright standards.",The license of every repository in the Stack v1.2 is specified in the column max_stars_repo_licenses (see dataset viewer of [1]).,[1] https://huggingface.co/datasets/bigcode/the-stack,1,All code in The Stack dataset used to train the model is automatically copyrighted under US copyright law. The licenses that address permissions to use each data point can be found at https://huggingface.co/datasets/bigcode/the-stack-dedup/blob/main/licenses.json,No
Data license,"For all data used in building the model, is the associated license status disclosed?","To receive this point, the license status must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point.",The license of every repository in the Stack v1.2 is specified in the column max_stars_repo_licenses (see dataset viewer of [1]).,[1] https://huggingface.co/datasets/bigcode/the-stack,1,,No
Personal information in data,"For all data used in building the model, is the inclusion or exclusion of personal information in that data disclosed?","To receive this point, the disclosure of personal information must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point. Additionally, we will award this point if the developer reports the inclusion of personal information, independent of if and how they mitigate related privacy concerns.","Section 4 of [1] describes the efforts to redact PII from the training data. 
We leveraged the StarPII model to detect names, usernames, emails, IP addresses, keys, passwords, and IDs (see Table 7 of [1] for the distribution). The performance of this model is reported in [2].
To mask IP addresses, we randomly selected an IP address from 5 synthetic, private, non-internet-facing IP addresses of the same type that can be found in Appendix C of [1]. Other detected PII were replaced by the appropriate token: <NAME>, <EMAIL>, <KEY>, <PASSWORD>. Usernames in GitHub issues were anonymized by replacing them with a participant counter within the conversation, e.g. username_1 to refer to second participant.
Data quality was manually assessed by 18 BigCode community members (see Visual Assessment of section 3.1 of [2]). Their name can be found in this report [3] but are not part of the data used to train this model.","[1] https://arxiv.org/pdf/2305.06161.pdf
[2] https://huggingface.co/bigcode/starpii
[3] https://docs.google.com/spreadsheets/d/1Lk-pTk_rXI__fCgixr7ZWSi8wR09Zzd2j_G90J80r00/edit?usp=sharing",1,,No
Use of human labor,Are the phases of the data pipeline where human labor is involved disclosed?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the use of human labor in their data pipeline.","Workers are used for both data annotation, data cleaning of PII, and further data cleaning. For the last type of data cleaning, it is mentioned that annotators of the community took part in the activity (I assume this was a volunteering effort). For the first two activities, more information is mentioned. Hugging Face funded the data annotation services from Toloka, with a total outlay
of $39,000 paid to crowd workers. We utilized the Toloka platform9
to engage 1,399 crowd-workers from 35 countries in annotating a dataset
for PII in source code. On average, participants completed 206 tasks, earned about $27, and worked 3.1 hours.",https://arxiv.org/pdf/2312.03872.pdf; https://arxiv.org/pdf/2305.06161.pdf,1,,No
Employment of data laborers,Is the organization that directly employs the people involved in data labor disclosed for each phase of the data pipeline?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer provides the name of the organization that employs data laborers, even if other details about the employment relationship are not disclosed.",Toloka is mentioned in each publication. More information about the community volunteers is also discussed (18 community annotators).,https://arxiv.org/pdf/2312.03872.pdf; https://arxiv.org/pdf/2305.06161.pdf,1,,No
Geographic distribution of data laborers,Is geographic information regarding the people involved in data labor disclosed for each phase of the data pipeline?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the geographic distribution of labor at the country-level.,"It is reported that crowd workers come from 35 countries. In Appendix B, Table B.1 of the document, the precise list of countries can be found. There is no geographic information however about the community annotators.",https://arxiv.org/pdf/2305.06161.pdf,1,,No
Wages,Are the wages for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. We will award this point if the developer reports that it does not compensate workers. For all data that is created by or on behalf of the developer, ","Section 4.1.  On average, participants completed 206 tasks, earned about $27, and worked 3.1
hours. Our goal was to identify PII in various forms, such as names, usernames, emails, IP addresses, keys,
passwords, and IDs. To ensure that crowd-workers received fair compensation, we established an hourly pay
rate of $7.30, taking into consideration different minimum wage rates across countries and their corresponding
purchasing power. We limited annotation eligibility to countries where the hourly pay rate of $7.30 was
equivalent to the highest minimum wage in the US ($16.50) in terms of purchasing power parity",https://arxiv.org/pdf/2305.06161.pdf,1,,No
Instructions for creating data,Are the instructions given to people who perform data labor disclosed?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer makes a reasonable best-effort attempt to disclose instructions given to people who create data used to build the model for the bulk of the data phases involving human labor.,"Information for the tasks conducted by the 18 community annotators is given in sec. 3.1 (visual inspection) ""We instructed the annotators to go through 50–100 files
and confirm if the data appeared to be normal code written by humans, as opposed to text, data, or a
single long line of autogenerated code. We also asked annotators to determine whether we should use our
default alpha-numeric filter (which requires over 25% alpha-numeric symbols) and long-line filter (which
requires lines to be less than 1,000 characters) for a given file extension. ""

Information for the PII annotators is available on the github repository https://github.com/bigcode-project/bigcode-dataset/ ","https://arxiv.org/pdf/2305.06161.pdf
https://github.com/bigcode-project/bigcode-dataset/blob/main/pii/PII%20detection%20guidelines%20(1)%20(4).pdf ",1,,No
Labor protections,Are the labor protections for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. It is also inclusive of all data that is created by or on behalf of the developer. As an example, labor protections might include protocols to reduce the harm to workers' mental health stemming from exposure to violent content when annotating training data. We will award this point if the developer reports that it does not protect workers or if it does not use data laborers and therefore has no labor protections.","In order to support our efforts to mitigate the risk that the model may leak private information, we selected 12,000 samples of code from The Stack and annotated them to detect PII using crowd-sourcing. Hugging Face funded the data annotation services from Toloka, with a total outlay of $39,000 paid to crowd workers. The resulting dataset was used to train a PII detection model that we used to detect and then mask PII (Names, Emails, IP addresses, Keys, Passwords) from our StarCoder training dataset. In doing so, we aimed to balance the constraints of costs (fair compensation), time (the timing and time to complete the work was on the critical path for the project), and quality (to ensure that PII Detection Model training was not impacted). While traditional data annotation services using salaried employees were considered, we decided to work with crowd-workers through Toloka after reviewing several service providers and their compensation practices - and finding that most would not provide sufficient transparency and guarantees about worker compensation. We selected pay and eligible countries of crowd-workers to ensure that 1. the absolute hourly wage was always higher than the US federal minimum wage ($7.30), and 2. the hourly wage was equivalent to the highest state minimum wage in the US in terms of purchasing power parity ($16.50 at the time of writing).
We engaged 1,399 crowd-workers across 35 countries in annotating a diverse dataset for PII in source code.",https://arxiv.org/pdf/2312.03872.pdf,1,,No
