Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Data size,"For the data used in building the model, is the data size disclosed?","Data size should be reported in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). No form of decomposition into data phases is required.",2.5 trillion tokens. ,https://www.ibm.com/downloads/cas/X9W4O6BM,1,,No
Data sources,"For all data used in building the model, are the data sources disclosed?","To receive this point, a meaningful decomposition of sources must be listed in an understandable way (e.g. named URLs/domains/databases/data providers). It does not suffice to say data is “sourced from the Internet"" or comes from ""licensed sources”.",20 data sources are disclosed by name.,https://www.ibm.com/downloads/cas/X9W4O6BM,1,"20 named sources (e.g. arXiv, Free Law, StackExchange)",No
Data creators ,"For all data used in building the model, is there some characterization of the people who created the data?","While information about data creators may not be easily discernible for some data scraped from the web, the general sources (URLs/domains) should be listed, and, for other data that is bought, licensed, or collected, a reasonable attempt at characterizing the underlying people who provided the data is required to receive this point. The relevant properties of people can vary depending on context: for example, relevant properties could include demographic information like fraction of Black individuals contributing to the dataset, geographic information like fraction of European individuals contributing to the dataset, language information like fraction of L1 English speakers, or occupational information like the fraction of professional artists.","For 19 out of the 20 data sources, by specifying the data source, it can be inferred who the creator was, e.g. a life scientist, federal or state judges, and inventors. The creators of data source 13, Webhose, are not clear.",https://www.ibm.com/downloads/cas/X9W4O6BM,0,"While the disclosure provides useful information, we do not award this point because, while a generic occupational mode could be assumed from the nature of the data source, information that specifically characterizes the data creators is not available.",No
Data source selection,Are the selection protocols for including and excluding data sources disclosed?,Selection protocols refer to procedures used to choose which datasets or subsets of datasets will be used to build a model. We will award this point even if the selection protocols are non-exhaustive.,"The technical report states: “To support the training of large enterprise-grade foundation models, including granite.13b, IBM curated a massive dataset of relevant unstructured language data from sources across academia, the internet, enterprise (e.g., financial, legal), and code. … The Granite pre-training dataset was created as a proprietary alternative to commonly used open-source data compilations for LLM training such as “ThePile” or “C4”. Some domains that are key for enterprise natural language processing are relatively under-represented in these compilations. Additionally these data compilations have been criticized for containing toxic, harmful, or pirated content. By curating our own pre-training data corpus, IBM takes significant steps towards addressing these and other issues.”",https://www.ibm.com/downloads/cas/X9W4O6BM,1,,No
Data curation,"For all data sources, are the curation protocols for those data sources disclosed?","Curation protocols refer to steps taken to further modify data sources, such as procedures to manage, annotate, and organize data. The aims of curation might include improving the quality, relevance, and representativeness of the data. We will award this point if the developer reports that it does not perform any further curation beyond the data sources.","Section II-B of the technical report describes all data curation and filtering done, including filtering for hate, abuse, and profanity.",https://www.ibm.com/downloads/cas/X9W4O6BM,1,,No
Data augmentation,Are any steps the developer takes to augment its data sources disclosed?,Such steps might include augmenting data sources with synthetic data. We will award this point if the developer reports that it does not take any steps to augment its data.,"For the supervised fine-tuning, it is reported that “internal synthetic datasets specifically designed for summarization and dialogue tasks” are used.",https://www.ibm.com/downloads/cas/X9W4O6BM,1,,No
Harmful data filtration,"If data is filtered to remove harmful content, is there a description of the associated filter?",Such harmful content might relate to violence or child sexual abuse material. We will award this point if the developer reports that it does not perform any harmful data filtration.,"Hate, abuse and profanity filtering is clearly described in Section II-B of the technical report.",https://www.ibm.com/downloads/cas/X9W4O6BM,1,,No
Copyrighted data,"For all data used in building the model, is the associated copyright status disclosed?","To receive this point, the copyright status (e.g. copyrighted, public domain) must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point or if the disclosure is not comprehensive relative to legal copyright standards.",Copyright filtering is clearly described in Section II-A of the technical report. ,https://www.ibm.com/downloads/cas/X9W4O6BM,0,"While sources are provided, information on presence/absence of copyrighted data is unclear in spite of information on copyright filtering.",No
Data license,"For all data used in building the model, is the associated license status disclosed?","To receive this point, the license status must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point.","In Section II of the technical report, the individual datasets used for training are described in detail.  ",https://www.ibm.com/downloads/cas/X9W4O6BM,0,"While sources are provided, information on presence/absence of licensed data is unclear.",No
Personal information in data,"For all data used in building the model, is the inclusion or exclusion of personal information in that data disclosed?","To receive this point, the disclosure of personal information must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point. Additionally, we will award this point if the developer reports the inclusion of personal information, independent of if and how they mitigate related privacy concerns.","In Section III-A of the technical report, IBM discloses the inclusion of data usage restrictions and sensitivity including personal information. ",https://www.ibm.com/downloads/cas/X9W4O6BM,0,"While sources are provided, information on presence/absence of PII is unclear.",No
Use of human labor,Are the phases of the data pipeline where human labor is involved disclosed?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the use of human labor in their data pipeline.","In Section VI of the technical report, IBM discloses humans creating keyword lists to improve fairness. ",https://www.ibm.com/downloads/cas/X9W4O6BM,1,Data labor is involved in keyword list creation.,No
Employment of data laborers,Is the organization that directly employs the people involved in data labor disclosed for each phase of the data pipeline?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer provides the name of the organization that employs data laborers, even if other details about the employment relationship are not disclosed.",Data is curated by IBM as described in Section I-B of the technical report.,https://www.ibm.com/downloads/cas/X9W4O6BM,1,IBM,No
Geographic distribution of data laborers,Is geographic information regarding the people involved in data labor disclosed for each phase of the data pipeline?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the geographic distribution of labor at the country-level.,,,0,,No
Wages,Are the wages for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. We will award this point if the developer reports that it does not compensate workers. For all data that is created by or on behalf of the developer, ",,,0,,No
Instructions for creating data,Are the instructions given to people who perform data labor disclosed?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer makes a reasonable best-effort attempt to disclose instructions given to people who create data used to build the model for the bulk of the data phases involving human labor.,,,0,,No
Labor protections,Are the labor protections for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. It is also inclusive of all data that is created by or on behalf of the developer. As an example, labor protections might include protocols to reduce the harm to workers' mental health stemming from exposure to violent content when annotating training data. We will award this point if the developer reports that it does not protect workers or if it does not use data laborers and therefore has no labor protections.",,,0,,No
Third party partners,Are the third parties who were or are involved in the development of the model disclosed?,This indicator is inclusive of partnerships that go beyond data labor as there may be third party partners at various stages in the model development process. We will award this point if the developer reports that it was the sole entity involved in the development of the model.,No third parties were involved.,Disclosed as part of FMTI v1.1,1,,Yes
Queryable external data access,Are external entities provided with queryable access to the data used to build the model?,"We will award this point for any reasonable mechanism for providing access: direct access to the data, an interface to query the data, a developer-mediated access program where developers can inspect requests, etc. Developers may receive this point even if there are rate-limits on the number of queries permitted to an external entity and restrictions on which external entities are given access, insofar as these limits and restrictions are transparent and ensure a reasonable amount of external access. We may accept justifications for prohibiting queries of specific parts of the data.",,,0,,No
Direct external data access,Are external entities provided with direct access to the data used to build the model?,"We will award this point if external entities can directly access the data without any form of gating from the developer. With that said, we may award this point if the developer provides justifications for prohibiting access to specific parts of the data or to unauthorized external entities.",,,0,,No
Compute usage,Is the compute required for building the model disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPS). Compute should be reported to a precision of one significant figure (e.g. 5 x $10^{25}$ FLOPS). We will award this point even if there is no decomposition of the reported compute usage into compute phases, but it should be clear whether the reported compute usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate compute expenditure.",120+120 TFLOPs where used during training as reported in section IV-B of the technical report.,https://www.ibm.com/downloads/cas/X9W4O6BM,1,240TFLOPs,No
Development duration,Is the amount of time required to build the model disclosed?,"The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, training and subsequent evaluation and red teaming).",Granite.13b used 256 A100 GPUs for 1056 hours + 1152 hours as reported in Section IV-B of the technical report.,https://www.ibm.com/downloads/cas/X9W4O6BM,1,2208 hours,No
Compute hardware,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.",Granite.13b used 256 A100 GPUs as reported in Section IV-B of the technical report.,https://www.ibm.com/downloads/cas/X9W4O6BM,1,256 NVIDIA A100 GPUs,No
Hardware owner,"For the primary hardware used in building the model, is the owner of the hardware disclosed?","For example, the hardware owner may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that hardware is owned by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.",The hardware is disclosed to be from the IBM Cloud’s Washington D.C. Data Center as reported in Section IV-B of the technical report.,https://www.ibm.com/downloads/cas/X9W4O6BM,1,IBM (Washington DC cluster),No
Energy usage,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh). Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage.","In Section IV-C of the technical report, IBM claims 153074.3767 kWh energy consumption in training Granite.13b.v1.",https://www.ibm.com/downloads/cas/X9W4O6BM,1,153074kWh,No
