Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Data size,"For the data used in building the model, is the data size disclosed?","Data size should be reported in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). No form of decomposition into data phases is required.",Writer says it trained Palmyra on 3 trillion tokens,https://dev.writer.com/docs/models,1,3 trillion tokens,No
Data sources,"For all data used in building the model, are the data sources disclosed?","To receive this point, a meaningful decomposition of sources must be listed in an understandable way (e.g. named URLs/domains/databases/data providers). It does not suffice to say data is “sourced from the Internet"" or comes from ""licensed sources”.",Additional training data details are shared with customers under NDA.,"https://huggingface.co/datasets/Writer/palmyra-data-index
",1,"Data sources of CommonCrawl, C4, GitHub, Books, ArXiv, Wikipedia",No
Data creators ,"For all data used in building the model, is there some characterization of the people who created the data?","While information about data creators may not be easily discernible for some data scraped from the web, the general sources (URLs/domains) should be listed, and, for other data that is bought, licensed, or collected, a reasonable attempt at characterizing the underlying people who provided the data is required to receive this point. The relevant properties of people can vary depending on context: for example, relevant properties could include demographic information like fraction of Black individuals contributing to the dataset, geographic information like fraction of European individuals contributing to the dataset, language information like fraction of L1 English speakers, or occupational information like the fraction of professional artists.",,,0,,No
Data source selection,Are the selection protocols for including and excluding data sources disclosed?,Selection protocols refer to procedures used to choose which datasets or subsets of datasets will be used to build a model. We will award this point even if the selection protocols are non-exhaustive.,,,0,,No
Data curation,"For all data sources, are the curation protocols for those data sources disclosed?","Curation protocols refer to steps taken to further modify data sources, such as procedures to manage, annotate, and organize data. The aims of curation might include improving the quality, relevance, and representativeness of the data. We will award this point if the developer reports that it does not perform any further curation beyond the data sources.","Additional training data details are shared with customers under NDA.
",Disclosed as part of FMTI v1.1,1,"Curation details for each source: for example, for CommonCrawl: ""We filtered out low quality data and only kept data that is distributed free of any copyright restrictions.""",Yes
Data augmentation,Are any steps the developer takes to augment its data sources disclosed?,Such steps might include augmenting data sources with synthetic data. We will award this point if the developer reports that it does not take any steps to augment its data.,"Leverage data augmentation techniques (see the section entitled ""Data Augmentation with Ethical Considerations"" in the supplemented version of the Palmyra-X Technical Report (the ""Updated Report""). ",Disclosed as part of FMTI v1.1,1,,Yes
Harmful data filtration,"If data is filtered to remove harmful content, is there a description of the associated filter?",Such harmful content might relate to violence or child sexual abuse material. We will award this point if the developer reports that it does not perform any harmful data filtration.,"Please see https://dev.writer.com/docs/toxic-check. ""Please see https://dev.writer.com/docs/overview-of-the-generative-ai-workflow for a diagram and description of safety filters we implement (called Toxic Checkers). 

Please also see https://dev.writer.com/docs/toxic-check, which discusses how Writer classifies input and output textual data and predicts toxicity level.""",https://dev.writer.com/docs/toxic-check; Disclosed as part of FMTI v1.1,1,,Yes
Copyrighted data,"For all data used in building the model, is the associated copyright status disclosed?","To receive this point, the copyright status (e.g. copyrighted, public domain) must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point or if the disclosure is not comprehensive relative to legal copyright standards.",,,0,,No
Data license,"For all data used in building the model, is the associated license status disclosed?","To receive this point, the license status must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point.",,,0,,No
Personal information in data,"For all data used in building the model, is the inclusion or exclusion of personal information in that data disclosed?","To receive this point, the disclosure of personal information must relate to some decomposition of the data. We will award this point if there is some meaningful decomposition of the data, even if the decomposition is insufficient to receive the Data Creators point. Additionally, we will award this point if the developer reports the inclusion of personal information, independent of if and how they mitigate related privacy concerns.",,,0,,No
Use of human labor,Are the phases of the data pipeline where human labor is involved disclosed?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the use of human labor in their data pipeline.","The use of human labor is discussed extensively in the technical report, both in relation to the fine-tuning stage, and the red teaming stage, and evaluations of safety.
",https://dev.writer.com/docs/mitigating-bias,1,,No
Employment of data laborers,Is the organization that directly employs the people involved in data labor disclosed for each phase of the data pipeline?,"Phases of the data pipeline that involve human labor include activities and tasks performed by people to collect, annotate, clean, or validate data. This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer provides the name of the organization that employs data laborers, even if other details about the employment relationship are not disclosed.",We have worked with third-party vendors like Upwork and Amazon Mechanical Turk to engage individuals for help with data pipeline-related work.,Disclosed as part of FMTI v1.1,1,"Amazon, Upwork",Yes
Geographic distribution of data laborers,Is geographic information regarding the people involved in data labor disclosed for each phase of the data pipeline?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer gives a reasonable best-effort description of the geographic distribution of labor at the country-level.,The individuals we have engaged thus far have been located in the United States.,Disclosed as part of FMTI v1.1,1,100% US,Yes
Wages,Are the wages for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. We will award this point if the developer reports that it does not compensate workers. For all data that is created by or on behalf of the developer, ",,,0,,No
Instructions for creating data,Are the instructions given to people who perform data labor disclosed?,This indicator is inclusive of all data that is created by or on behalf of the developer. We will award this point if the developer makes a reasonable best-effort attempt to disclose instructions given to people who create data used to build the model for the bulk of the data phases involving human labor.,,,0,,No
Labor protections,Are the labor protections for people who perform data labor disclosed?,"This indicator is inclusive of data labor at all points of the model development process, such as training data annotation or red teaming data used to control the model. It is also inclusive of all data that is created by or on behalf of the developer. As an example, labor protections might include protocols to reduce the harm to workers' mental health stemming from exposure to violent content when annotating training data. We will award this point if the developer reports that it does not protect workers or if it does not use data laborers and therefore has no labor protections.",,,0,,No
Third party partners,Are the third parties who were or are involved in the development of the model disclosed?,This indicator is inclusive of partnerships that go beyond data labor as there may be third party partners at various stages in the model development process. We will award this point if the developer reports that it was the sole entity involved in the development of the model.,,,0,,No
Queryable external data access,Are external entities provided with queryable access to the data used to build the model?,"We will award this point for any reasonable mechanism for providing access: direct access to the data, an interface to query the data, a developer-mediated access program where developers can inspect requests, etc. Developers may receive this point even if there are rate-limits on the number of queries permitted to an external entity and restrictions on which external entities are given access, insofar as these limits and restrictions are transparent and ensure a reasonable amount of external access. We may accept justifications for prohibiting queries of specific parts of the data.",,,0,,No
Direct external data access,Are external entities provided with direct access to the data used to build the model?,"We will award this point if external entities can directly access the data without any form of gating from the developer. With that said, we may award this point if the developer provides justifications for prohibiting access to specific parts of the data or to unauthorized external entities.",,,0,,No
Compute usage,Is the compute required for building the model disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPS). Compute should be reported to a precision of one significant figure (e.g. 5 x $10^{25}$ FLOPS). We will award this point even if there is no decomposition of the reported compute usage into compute phases, but it should be clear whether the reported compute usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate compute expenditure.",8.2e23 FLOPs,Disclosed as part of FMTI v1.1,1,,Yes
Development duration,Is the amount of time required to build the model disclosed?,"The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, training and subsequent evaluation and red teaming).",74 days (910832 GPU-hours),Disclosed as part of FMTI v1.1,1,,Yes
Compute hardware,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.","Our clusters use NVIDIA A100s 80GB. Both clusters use nodes using the following, per node: 8 NVIDIA A100 (80 GB); 128 vCPUs, 2048 GB RAM. In total there are 128 nodes.",Disclosed as part of FMTI v1.1,1,1024 NVIDIA A100 80GB GPUs,Yes
Hardware owner,"For the primary hardware used in building the model, is the owner of the hardware disclosed?","For example, the hardware owner may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that hardware is owned by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.","The hardware is disclosed to be from the Writer research cluster and additional Writer-internal production clusters.
",Disclosed as part of FMTI v1.1,1,Writer,Yes
Energy usage,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh). Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage.",812 MWh,Disclosed as part of FMTI v1.1,1,,Yes
Carbon emissions,Is the amount of carbon emitted (associated with the energy used) in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2). Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions.",207tCO2eq,Disclosed as part of FMTI v1.1,1,,Yes
Broader environmental impact,Are any broader environmental impacts from building the model besides carbon emissions disclosed?,"While the most direct environmental impact of building a foundation model is the energy used and, therefore, the potential carbon emissions, there may be other environmental impacts. For example, these may include the use of other resources such as water for cooling data centers or metals for producing specialized hardware. We recognize that there does not exist an authoritative or consensus list of broader environmental factors. For this reason, we will award this point if there is a meaningful, though potentially incomplete, discussion of broader environmental impact.","No information found any broader environmental impacts from building the model, though the use of carbon offsets is discussed in the Palmyra Technical Report",,0,,No
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.",The model stages are pretraining (next word prediction as described) and fine-tuning use an autoregressive objective only for answer tokens.,Disclosed as part of FMTI v1.1,1,,Yes
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).","The model objectives are fairly clear: pretraining (next word prediction as described), fine-tuning use an autoregressive objective only for answer tokens.",Disclosed as part of FMTI v1.1,1,,Yes
Core frameworks,Are the core frameworks used for model development disclosed?,"Examples of core frameworks include Tensorflow, PyTorch, Jax, Hugging Face Transformers, Seqio, T5X, Keras, SciKit, and Triton. If there are significant internal frameworks, there should be some description of their function and/or a reasonably similar publicly-available analogue. We recognize that there does not exist an authoritative or consensus list of core frameworks. For this reason, we will award this point if there is a meaningful, though potentially incomplete, list of major frameworks for the first version of the index.","PyTorch, Hugging Face Transformers",Disclosed as part of FMTI v1.1,1,,Yes
Additional dependencies,"Are any dependencies required to build the model disclosed besides data, compute, and code?","For example, if the model depends on an external search engine, programmable APIs, or tools, this should be disclosed. We recognize that there is not widespread consensus regarding what constitutes key dependencies beyond the data, compute, and code. We will award this point only if developers give a reasonable best-effort description of any additional dependencies or make clear that no additional dependencies are required.",This is a static model trained on an offline dataset.,Disclosed as part of FMTI v1.1,1,,Yes
